Team_1,Team_2,Team_1_Score,Team_2_Score
Kansas,Iowa St.,53,68
UCF,Cincinnati,64,73
Virginia,Virginia Tech,68,74
UConn,Georgetown,68,62
Michigan St.,Rutgers,55,61
A&M-Corpus Christi,Southeastern La.,83,72
Green Bay,IUPUI,53,68
Davidson,Massachusetts,93,78
Texas Tech,Baylor,62,89
UNC Greensboro,The Citadel,79,59
Purdue Fort Wayne,Detroit Mercy,52,85
Cleveland St.,Oakland,89,92
Georgia Tech,NC State,64,72
Wake Forest,Notre Dame,81,64
Stonehill,St. Francis Brooklyn,65,59
Wagner,Fairleigh Dickinson,83,79
Delaware St.,Morgan St.,65,75
Ole Miss,Vanderbilt,71,74
NJIT,UMass Lowell,61,90
New Hampshire,Bryant,46,70
Lehigh,Lafayette,66,64
Central Conn. St.,Sacred Heart,65,78
Elon,Northeastern,74,73
Auburn,Tennessee,43,46
Winthrop,Radford,66,69
UNCW,William & Mary,70,63
Navy,Holy Cross,86,68
UMBC,Maine,49,84
Drexel,Monmouth,67,69
Chicago St.,Hartford,62,49
Tulane,Memphis,90,89
North Dakota,South Dakota,86,72
Florida St.,Louisville,81,78
TCU,Oklahoma St.,73,79
Southern Miss.,Georgia St.,79,71
Duquesne,George Washington,93,67
Evansville,UIC,61,70
Col. of Charleston,Delaware,84,67
Presbyterian,Gardner-Webb,48,56
Miami (OH),Ohio,68,78
Chattanooga,Western Caro.,68,83
Central Ark.,Stetson,80,99
Campbell,Longwood,50,74
VMI,Mercer,54,80
Butler,Marquette,52,60
Buffalo,Western Mich.,85,76
Illinois,Iowa,79,81
George Mason,Loyola Chicago,61,69
North Dakota St.,South Dakota St.,85,90
Saint Francis (PA),Merrimack,66,70
Miami (FL),Clemson,78,74
Western Ill.,Omaha,75,72
ETSU,Samford,62,73
Coastal Carolina,Arkansas St.,57,73
South Alabama,ULM,72,64
Vermont,UAlbany,87,68
Arkansas,South Carolina,65,63
Alabama,LSU,79,69
Stony Brook,Hofstra,58,79
Purdue,Indiana,74,79
Colgate,American,60,61
SMU,East Carolina,72,77
Jacksonville St.,Bellarmine,64,71
UNC Asheville,USC Upstate,70,76
Queens (NC),Austin Peay,70,69
Southeast Mo. St.,Tennessee Tech,80,82
Texas,Kansas St.,69,66
Murray St.,Indiana St.,56,99
FIU,UAB,72,76
Grambling,Alabama St.,73,60
UTEP,Western Ky.,69,74
James Madison,App State,63,57
Fla. Atlantic,Charlotte,67,52
Morehead St.,Southern Ind.,71,66
Tennessee St.,Eastern Ill.,65,61
SIUE,Little Rock,84,81
UT Martin,Lindenwood,75,80
UIW,New Orleans,78,70
Syracuse,Boston College,77,68
St. John's (NY),Xavier,71,96
NIU,Bowling Green,86,78
Jacksonville,North Florida,58,65
Boston U.,Loyola Maryland,68,67
Liberty,Lipscomb,64,69
Sam Houston,UT Arlington,58,70
Idaho,Sacramento St.,82,76
Norfolk St.,Hampton,83,71
UTRGV,Tarleton St.,68,65
Illinois St.,Belmont,75,90
Ark.-Pine Bluff,Alcorn,67,70
McNeese,Tex. A&M-Commerce,58,60
Missouri,Mississippi St.,52,63
Yale,Dartmouth,72,53
Columbia,Princeton,66,88
Cornell,Penn,86,92
Brown,Harvard,68,65
Southern U.,Alabama A&M,61,82
St. Thomas (MN),Denver,68,57
Northern Colo.,Montana St.,62,75
Florida A&M,Texas Southern,76,69
Wofford,Furman,67,80
UTSA,Middle Tenn.,60,84
Bradley,UNI,77,69
Mississippi Val.,Jackson St.,82,78
Bethune-Cookman,Prairie View,60,58
North Carolina,Duke,57,63
Charleston So.,High Point,73,81
Central Mich.,Toledo,59,84
Northern Ky.,Youngstown St.,56,74
Kennesaw St.,Eastern Ky.,74,77
North Ala.,FGCU,87,85
Wright St.,Robert Morris,82,67
Northwestern St.,Lamar University,72,68
Washington St.,UCLA,52,76
Army West Point,Bucknell,67,73
Drake,Valparaiso,85,82
Texas St.,Troy,64,68
Ga. Southern,Old Dominion,58,64
UC Irvine,Long Beach St.,88,93
Villanova,Creighton,61,66
Weber St.,Idaho St.,72,71
Marshall,Louisiana,67,77
Oral Roberts,Kansas City,85,57
Nicholls,Houston Christian,92,91
North Texas,Rice,74,64
SFA,Grand Canyon,83,86
Utah St.,Colorado St.,88,79
Portland,Pepperdine,93,94
Dayton,St. Bonaventure,59,68
Oklahoma,West Virginia,61,93
Florida,Kentucky,67,72
Georgia,Texas A&M,57,82
UC Riverside,Cal St. Fullerton,58,64
Pacific,BYU,66,81
Southern Utah,Utah Tech,79,86
Northern Ariz.,Montana,66,67
Maryland,Minnesota,81,46
Seattle U,New Mexico St.,75,82
Oregon St.,Arizona,52,84
Washington,Southern California,74,80
UC Santa Barbara,CSUN,67,72
Abilene Christian,California Baptist,87,71
Hawaii,Cal Poly,69,56
CSU Bakersfield,UC San Diego,75,69
Oregon,Arizona St.,75,70
Eastern Wash.,Portland St.,98,88
Wyoming,San Jose St.,64,84
Santa Clara,San Francisco,84,70
LMU (CA),San Diego,79,87
Gonzaga,Saint Mary's (CA),70,78
