Team_1,Team_2,Team_1_Score,Team_2_Score
Temple,Memphis,77,86
IUPUI,Northern Ky.,47,86
Iowa,Minnesota,68,56
Quinnipiac,Canisius,65,85
Youngstown St.,Cleveland St.,78,81
Michigan St.,Ohio St.,62,41
Robert Morris,Purdue Fort Wayne,71,64
Iona,Niagara,72,55
Saint Peter's,Manhattan,52,68
Missouri St.,Evansville,66,60
Purdue,Northwestern,58,64
Marist,Siena,65,73
Mount St. Mary's,Fairfield,72,76
Wofford,UNC Greensboro,89,97
SMU,Wichita St.,89,91
Cal St. Fullerton,Hawaii,52,51
