Team_1,Team_2,Team_1_Score,Team_2_Score
Tarleton St.,UT Arlington,69,64
UMass Lowell,Hartford,70,48
Lafayette,Holy Cross,72,58
Duke,Miami (FL),59,81
Grambling,Alabama A&M,66,60
Idaho St.,Northern Ariz.,75,70
Green Bay,Milwaukee,80,79
Mississippi Val.,Alcorn,70,81
Southern U.,Alabama St.,66,73
Ark.-Pine Bluff,Jackson St.,84,88
Florida A&M,Prairie View,45,75
Bethune-Cookman,Texas Southern,62,69
Texas,Kansas,80,88
Weber St.,Northern Colo.,54,88
