Team_1,Team_2,Team_1_Score,Team_2_Score
Marquette,UConn,72,87
Rutgers,Indiana,60,66
Cincinnati,Tulane,94,101
Eastern Mich.,Buffalo,97,102
Louisville,Pittsburgh,57,91
Bowling Green,Kent St.,64,87
Ole Miss,Georgia,78,74
North Carolina,Wake Forest,85,92
Auburn,Texas A&M,78,83
Chicago St.,Delaware St.,60,66
Ball St.,Central Mich.,65,51
Dayton,VCU,62,58
Western Mich.,Miami (OH),78,85
Toledo,Akron,84,74
ETSU,UNC Greensboro,65,91
Drake,Murray St.,92,68
Ohio,NIU,82,76
St. John's (NY),Butler,66,68
Colorado St.,Air Force,69,53
TCU,Kansas St.,61,82
South Carolina,Missouri,74,83
Rhode Island,Saint Louis,71,76
NC State,Virginia,50,63
Arkansas,Kentucky,88,73
Maryland,Michigan St.,58,63
San Jose St.,Fresno St.,62,70
Nevada,New Mexico,77,76
