Team_1,Team_2,Team_1_Score,Team_2_Score
UAlbany,UMass Lowell,50,66
Providence,Xavier,83,85
Creighton,Georgetown,63,53
Penn St.,Purdue,60,80
East Carolina,South Fla.,63,71
Wofford,ETSU,52,77
George Washington,La Salle,64,75
Binghamton,UMBC,55,69
Navy,Lafayette,53,34
Chattanooga,Furman,58,79
Holy Cross,Boston U.,82,70
USC Upstate,Campbell,66,78
Tulsa,Cincinnati,55,81
Bucknell,American,78,71
St. Bonaventure,Richmond,66,62
Radford,Presbyterian,67,59
Massachusetts,George Mason,59,70
Pittsburgh,North Carolina,65,64
Tennessee,Florida,54,67
New Hampshire,NJIT,74,67
Georgia Tech,Louisville,58,68
Georgia,Auburn,73,94
Rhode Island,Saint Joseph's,50,64
Longwood,Winthrop,74,76
Army West Point,Lehigh,71,69
Samford,Western Caro.,85,77
Gardner-Webb,Charleston So.,67,59
Maine,Bryant,53,71
Sam Houston,UTRGV,67,65
Southern Ill.,Bradley,52,62
Belmont,Murray St.,82,83
Indiana St.,Evansville,83,65
Valparaiso,Missouri St.,67,76
UIC,Illinois St.,62,68
Villanova,Marquette,64,73
Seton Hall,St. John's (NY),84,72
Minnesota,Rutgers,55,90
Florida St.,NC State,66,94
LSU,Missouri,77,87
SMU,Tulane,52,74
UNI,Drake,81,88
Oklahoma St.,Oklahoma,71,61
SFA,New Mexico St.,67,73
Southern Utah,California Baptist,72,71
Abilene Christian,Seattle U,83,68
New Mexico,Utah St.,73,84
