Team_1,Team_2,Team_1_Score,Team_2_Score
Mississippi St.,South Carolina,66,51
Wake Forest,Duke,73,75
Virginia Tech,Miami (FL),83,92
Toledo,Miami (OH),81,78
VCU,Davidson,61,59
Clemson,Boston College,54,62
Saint Louis,Fordham,65,75
Marist,Quinnipiac,66,72
Central Mich.,Kent St.,69,81
NIU,Western Mich.,73,59
Ball St.,Bowling Green,69,60
Ohio,Eastern Mich.,79,90
Nebraska,Illinois,56,72
Texas A&M,Arkansas,70,81
Akron,Buffalo,81,64
Kansas St.,Kansas,78,90
UConn,DePaul,90,76
Vanderbilt,Alabama,44,101
Northwestern,Iowa,70,86
Loyola Chicago,Dayton,81,85
Boise St.,Air Force,59,52
UNLV,Colorado St.,83,71
West Virginia,TCU,72,76
Kentucky,Ole Miss,75,66
Indiana,Maryland,55,66
Fresno St.,Wyoming,62,85
San Diego St.,Nevada,66,75
