Team_1,Team_2,Team_1_Score,Team_2_Score
Wagner,St. Francis Brooklyn,62,64
Sacred Heart,Saint Francis (PA),76,78
Rice,Fla. Atlantic,81,90
Gardner-Webb,Radford,61,48
Stonehill,Merrimack,43,56
Stetson,Jacksonville,70,67
Marshall,Coastal Carolina,92,74
Eastern Ky.,Queens (NC),84,80
Bellarmine,Liberty,50,70
FGCU,North Florida,68,66
Fairleigh Dickinson,LIU,80,79
Kansas City,Western Ill.,76,64
Louisiana Tech,FIU,62,66
Old Dominion,Georgia St.,63,60
James Madison,Ga. Southern,73,76
Iowa,Purdue,73,87
App State,ULM,52,45
Morehead St.,Little Rock,68,72
UT Arlington,UTRGV,64,58
Omaha,North Dakota St.,58,84
New Orleans,Nicholls,59,84
Denver,North Dakota,63,86
Arkansas St.,Texas St.,62,66
Oral Roberts,St. Thomas (MN),95,88
Northwestern,Ohio St.,69,63
Oakland,Green Bay,59,47
Portland St.,Northern Colo.,79,88
Sacramento St.,Northern Ariz.,55,77
SIUE,Lindenwood,63,58
UAB,North Texas,79,82
Detroit Mercy,Milwaukee,89,94
South Alabama,Troy,57,61
Houston Christian,A&M-Corpus Christi,68,91
Southeastern La.,McNeese,66,69
UT Martin,Eastern Ill.,75,77
Kennesaw St.,Jacksonville St.,54,52
Lamar University,UIW,68,59
Louisiana,Southern Miss.,71,82
Austin Peay,North Ala.,57,70
UC Davis,UC Riverside,65,72
Southeast Mo. St.,Tennessee St.,65,85
Northwestern St.,Tex. A&M-Commerce,88,82
Southern Ind.,Tennessee Tech,69,84
Lipscomb,Central Ark.,93,81
Montana,Idaho St.,69,61
UCLA,Oregon St.,62,47
Charlotte,UTEP,62,53
Montana St.,Weber St.,63,73
Tarleton St.,Southern Utah,62,72
Middle Tenn.,Western Ky.,89,93
Pacific,Portland,73,81
San Francisco,Gonzaga,81,99
Saint Mary's (CA),LMU (CA),74,78
Arizona St.,Stanford,69,65
BYU,Pepperdine,80,92
San Diego,Santa Clara,75,80
Cal Poly,UC Irvine,54,55
CSUN,CSU Bakersfield,58,73
UC Santa Barbara,Long Beach St.,75,72
Arizona,California,85,62
Southern California,Oregon,60,78
