Team_1,Team_2,Team_1_Score,Team_2_Score
Colgate,Bucknell,76,56
West Virginia,Texas,60,94
Kentucky,Georgia,68,75
Providence,St. John's (NY),68,73
Pittsburgh,Florida St.,83,75
Penn St.,Maryland,68,74
NC State,Boston College,92,62
Marquette,Georgetown,89,75
St. Bonaventure,Duquesne,54,56
LIU,Wagner,46,58
Boston U.,Lafayette,65,69
Bryant,UMBC,73,76
George Washington,Saint Joseph's,69,81
Kansas,Oklahoma,78,55
South Carolina,Ole Miss,64,61
Bellarmine,Queens (NC),88,84
Army West Point,Navy,53,70
Virginia Tech,Notre Dame,93,87
Cornell,Brown,66,80
Massachusetts,La Salle,72,86
Hofstra,Monmouth,86,57
William & Mary,Elon,55,66
UNC Asheville,Presbyterian,76,72
Western Caro.,Furman,59,93
Princeton,Dartmouth,76,83
Holy Cross,American,74,66
Rhode Island,George Mason,67,75
James Madison,Coastal Carolina,73,66
UAlbany,Binghamton,66,80
Clemson,North Carolina,71,91
Louisiana Tech,Fla. Atlantic,85,90
Bowling Green,Ball St.,72,93
Penn,Harvard,80,72
Campbell,Gardner-Webb,73,77
Alabama,Auburn,77,69
N.C. A&T,Stony Brook,59,69
Towson,Drexel,66,73
Marshall,Georgia St.,88,77
UIC,Belmont,71,98
Southern Ill.,Drake,59,82
St. Francis Brooklyn,Stonehill,51,62
UConn,Creighton,53,56
Rutgers,Illinois,60,69
Indiana St.,UNI,80,62
Denver,North Dakota St.,70,78
Murray St.,Bradley,48,83
Omaha,North Dakota,73,76
Stetson,North Florida,81,92
Fordham,Davidson,73,71
The Citadel,Samford,70,76
Oral Roberts,Western Ill.,82,73
Arkansas St.,Ga. Southern,53,68
St. Xavier,Chicago St.,67,91
Central Mich.,Miami (OH),66,60
Vanderbilt,Florida,88,80
Mercer,Chattanooga,56,73
ULM,Southern Miss.,67,76
Maine,NJIT,50,65
Norfolk St.,UMES,76,73
Wisconsin,Nebraska,63,73
Duke,Virginia,62,69
UNLV,San Diego St.,71,82
FGCU,Jacksonville,62,51
Morgan St.,N.C. Central,63,83
Loyola Chicago,Richmond,71,74
Alcorn,Bethune-Cookman,76,74
Baylor,TCU,72,68
Merrimack,Saint Francis (PA),75,68
Alabama St.,Ark.-Pine Bluff,74,71
Western Mich.,NIU,53,81
Cal Poly,CSUN,53,64
UTEP,UTSA,77,66
Portland St.,Northern Ariz.,88,87
Howard,Delaware St.,86,85
Middle Tenn.,UAB,69,92
Col. of Charleston,Hampton,83,70
Jackson St.,Florida A&M,69,58
Coppin St.,South Carolina St.,84,94
Austin Peay,Central Ark.,69,76
Eastern Ill.,SIUE,84,73
Little Rock,UT Martin,61,84
Lamar University,A&M-Corpus Christi,52,61
Nicholls,Southeastern La.,88,77
Tex. A&M-Commerce,Northwestern St.,64,72
Tennessee Tech,Tennessee St.,53,67
Old Dominion,Texas St.,70,68
Georgia Tech,Wake Forest,70,71
Morehead St.,Southeast Mo. St.,65,59
McNeese,New Orleans,79,78
Houston Christian,UIW,84,78
USC Upstate,Winthrop,79,70
Jacksonville St.,Kennesaw St.,71,74
Central Conn. St.,Fairleigh Dickinson,77,73
Louisiana,Troy,65,80
Texas Southern,Grambling,46,65
Radford,Charleston So.,90,71
Mississippi St.,Arkansas,70,64
Indiana,Michigan,62,61
Missouri,Tennessee,86,85
App State,South Alabama,57,74
Oklahoma St.,Iowa St.,64,56
Southern California,Oregon St.,58,61
Charlotte,North Texas,43,67
Saint Mary's (CA),Portland,81,64
Eastern Wash.,Idaho,73,66
Prairie View,Southern U.,65,79
Loyola Maryland,Lehigh,91,82
Kansas St.,Texas Tech,63,71
Detroit Mercy,Green Bay,76,71
Oakland,Milwaukee,77,80
Sam Houston,Abilene Christian,77,62
South Dakota,South Dakota St.,67,72
Longwood,High Point,70,67
Columbia,Yale,68,99
Rice,FIU,85,78
South Fla.,Cincinnati,65,84
LMU (CA),Santa Clara,69,71
Illinois St.,Valparaiso,76,81
UMass Lowell,Vermont,81,93
Tulsa,UCF,52,96
Louisville,Miami (FL),85,93
Eastern Ky.,Liberty,73,83
Northeastern,UNCW,59,71
Alabama A&M,Mississippi Val.,70,68
SFA,UTRGV,82,72
Toledo,Eastern Mich.,70,63
Arizona,Stanford,79,88
Sacramento St.,Northern Colo.,54,70
Arizona St.,California,70,62
Southern Utah,Utah Valley,83,90
Wyoming,Boise St.,63,75
Kansas City,St. Thomas (MN),43,73
Montana St.,Idaho St.,58,52
Seton Hall,Villanova,54,58
Lipscomb,North Ala.,70,80
Texas A&M,LSU,74,62
Montana,Weber St.,74,69
Lindenwood,Southern Ind.,64,74
Tarleton St.,Utah Tech,75,71
Long Beach St.,CSU Bakersfield,79,69
Pepperdine,San Francisco,80,88
Utah St.,San Jose St.,64,69
Colorado,Utah,62,73
San Diego,Pacific,94,99
BYU,Gonzaga,81,88
UC Davis,UC Santa Barbara,74,84
Grand Canyon,Seattle U,58,63
West Coast Baptist,California Baptist,46,132
UCLA,Oregon,70,63
Washington,Washington St.,51,56
UC Riverside,UC Irvine,64,83
