Rank,Team,Confrence,Win_Loss,Adjusted_Efficiency_Margin,Adjusted_Offensive_Efficency,Adjusted_Defensive_Efficency,Adjusted_tempo,Luck,Strength_of_Schedule_Rating,Adverage_Adjusted_Offensive_Efficency_of_Opponents,Adverage_Adjusted_Defensive_Efficency_of_Opponents,Non_Confrence_Strength_of_Schedule_Rating
1,Houston,Amer,25-2,+29.46,119.9,90.4,63.3,+.028,+2.78,106.2,103.4,+0.26
2,Alabama,SEC,23-4,+27.83,117.3,89.5,73.5,+.068,+10.43,109.6,99.2,+9.59
3,UCLA,P12,23-4,+27.00,114.9,87.9,66.4,-.004,+6.65,108.2,101.6,+0.89
4,Purdue,B10,24-4,+25.44,119.1,93.7,64.5,+.010,+8.21,109.1,100.9,+0.06
5,Tennessee,SEC,20-8,+24.68,110.9,86.2,66.3,-.060,+8.19,108.7,100.6,+2.87
6,Connecticut,BE,20-7,+24.55,117.9,93.3,67.2,-.067,+7.59,107.6,100.1,-1.13
7,Kansas,B12,23-5,+24.12,116.2,92.1,69.7,+.089,+13.03,110.6,97.6,+6.50
8,Saint Mary's,WCC,24-5,+22.97,113.2,90.2,62.0,-.023,+4.71,108.8,104.1,+3.93
9,Texas,B12,22-6,+22.74,117.9,95.2,69.5,+.042,+9.82,109.5,99.7,-0.98
10,Arizona,P12,24-4,+22.31,119.2,96.9,72.7,+.058,+6.65,106.4,99.8,+3.32
11,Marquette,BE,22-6,+22.11,120.3,98.2,69.3,-.019,+8.33,108.6,100.3,-1.04
12,Creighton,BE,18-10,+21.88,114.2,92.3,68.0,-.101,+10.27,110.1,99.8,+6.17
13,Gonzaga,WCC,23-5,+21.53,121.9,100.4,70.8,+.054,+7.48,109.7,102.2,+9.64
14,Baylor,B12,20-8,+20.93,121.6,100.7,66.7,+.037,+12.00,110.6,98.6,+1.89
15,Arkansas,SEC,19-9,+19.75,112.3,92.6,69.7,-.059,+7.36,108.5,101.2,+3.54
16,San Diego St.,MWC,22-5,+19.52,112.8,93.3,67.1,+.041,+7.69,109.2,101.5,+6.67
17,Maryland,B10,18-9,+18.86,112.8,94.0,65.6,-.014,+7.63,108.6,100.9,-3.98
18,Kansas St.,B12,21-7,+18.79,111.9,93.1,70.1,+.046,+9.38,108.6,99.2,-2.15
19,Iowa St.,B12,17-10,+18.65,109.4,90.8,64.7,-.020,+11.51,111.1,99.6,-1.86
20,Auburn,SEC,18-9,+18.64,111.1,92.5,68.2,-.057,+7.81,108.2,100.4,+3.56
21,West Virginia,B12,16-12,+18.52,116.5,98.0,68.9,-.068,+11.25,110.3,99.0,+2.18
22,TCU,B12,18-10,+18.48,111.8,93.3,70.5,-.055,+8.88,108.8,99.9,-6.58
23,Virginia,ACC,21-4,+18.10,112.4,94.3,62.0,+.056,+4.82,108.1,103.3,+1.94
24,Xavier,BE,20-8,+17.97,118.0,100.0,71.4,-.024,+8.77,109.4,100.7,+3.57
25,Texas A&M,SEC,21-7,+17.84,115.2,97.3,66.3,+.029,+5.20,107.0,101.8,-2.45
26,Indiana,B10,19-9,+17.79,114.8,97.0,68.4,+.010,+9.23,109.2,100.0,-4.22
27,Rutgers,B10,17-10,+17.69,107.2,89.5,66.6,-.080,+6.57,108.6,102.0,-7.38
28,Boise St.,MWC,21-6,+17.57,109.9,92.3,67.0,+.017,+5.09,108.0,102.9,+0.85
29,Providence,BE,20-7,+17.49,116.1,98.6,67.6,-.018,+4.75,106.8,102.1,-8.31
30,Illinois,B10,18-9,+17.31,112.4,95.0,69.9,-.035,+6.58,107.4,100.8,-5.70
31,Miami FL,ACC,23-5,+17.08,119.1,102.0,69.0,+.024,+4.88,107.2,102.3,-1.90
32,Michigan St.,B10,17-10,+16.96,111.3,94.3,65.1,+.024,+11.76,111.3,99.6,+4.90
33,Nevada,MWC,21-7,+16.29,113.1,96.8,66.2,+.047,+7.42,109.2,101.7,+3.64
34,Kentucky,SEC,18-9,+16.17,116.6,100.4,65.8,+.004,+7.18,108.0,100.9,+0.45
35,Utah St.,MWC,22-7,+16.13,116.5,100.3,68.8,+.021,+5.80,107.9,102.1,+3.11
36,Duke,ACC,20-8,+16.06,111.4,95.3,65.6,+.035,+5.51,108.5,103.0,+1.71
37,Memphis,Amer,20-7,+15.95,112.9,97.0,72.5,-.065,+5.56,107.4,101.8,+5.81
38,Iowa,B10,17-10,+15.64,119.7,104.0,70.2,-.022,+8.49,107.6,99.2,-2.92
39,Oklahoma St.,B12,16-12,+15.51,108.3,92.8,68.4,-.023,+11.07,109.7,98.7,+0.35
40,Florida Atlantic,CUSA,24-3,+15.48,113.1,97.6,68.7,+.057,+0.47,105.4,104.9,-2.83
41,Northwestern,B10,20-7,+15.26,108.9,93.6,65.7,+.083,+6.73,107.8,101.1,-3.84
42,Mississippi St.,SEC,18-10,+15.22,104.8,89.6,64.0,-.018,+6.28,107.5,101.2,-3.58
43,N.C. State,ACC,21-7,+15.07,113.1,98.0,69.8,+.021,+3.38,107.3,103.9,-4.94
44,North Carolina,ACC,16-11,+14.97,113.0,98.0,69.7,-.084,+7.92,109.3,101.4,+6.86
45,Oregon,P12,15-13,+14.91,113.6,98.7,66.8,-.047,+10.35,108.8,98.4,+5.91
46,Liberty,ASun,22-7,+14.50,111.8,97.3,64.8,-.033,-2.93,103.1,106.1,+1.77
47,USC,P12,19-8,+14.20,112.3,98.1,68.8,+.038,+6.11,106.1,100.0,+1.30
48,New Mexico,MWC,20-7,+14.17,115.0,100.8,71.3,+.003,+3.80,107.0,103.3,-1.11
49,Michigan,B10,15-12,+14.00,113.1,99.1,68.4,-.058,+7.80,108.6,100.8,-0.07
50,Texas Tech,B12,16-12,+13.89,111.0,97.2,67.9,-.036,+8.43,109.6,101.1,-6.41
51,Penn St.,B10,16-11,+13.67,116.6,102.9,65.4,-.031,+7.26,108.0,100.7,-4.68
52,Colorado,P12,15-13,+13.64,106.9,93.3,69.8,-.093,+7.09,107.6,100.6,+3.57
53,North Texas,CUSA,23-5,+13.58,110.7,97.1,58.6,+.102,+1.68,105.5,103.8,+1.50
54,Florida,SEC,14-13,+13.57,107.3,93.7,69.7,-.071,+8.96,109.4,100.5,+4.45
55,Utah,P12,17-11,+13.41,109.0,95.5,66.5,-.045,+4.79,106.1,101.3,-4.50
56,UCF,Amer,15-11,+12.90,109.9,97.0,64.6,-.095,+4.27,107.4,103.1,-0.56
57,Oklahoma,B12,13-15,+12.78,110.8,98.0,65.9,-.047,+12.42,110.0,97.6,+3.94
58,Oral Roberts,Sum,25-4,+12.52,115.2,102.7,71.2,+.097,-4.23,103.7,108.0,+7.56
59,Washington St.,P12,13-15,+12.51,110.4,97.9,64.4,-.102,+9.36,109.1,99.7,+4.66
