Rank,Team,Confrence,Win_Loss,Adjusted_Efficiency_Margin,Adjusted_Offensive_Efficency,Adjusted_Defensive_Efficency,Adjusted_tempo,Luck,Strength_of_Schedule_Rating,Adverage_Adjusted_Offensive_Efficency_of_Opponents,Adverage_Adjusted_Defensive_Efficency_of_Opponents,Non_Confrence_Strength_of_Schedule_Rating
41,Texas A&M,SEC,15-7,+15.11,114.0,98.9,66.5,-.007,+4.01,105.9,101.9,-1.57
42,Northwestern,B10,15-5,+15.10,109.4,94.3,66.3,+.048,+4.08,105.6,101.5,-3.49
43,USC,P12,15-6,+15.08,112.2,97.2,67.4,+.039,+7.10,106.3,99.2,+1.13
44,Michigan St.,B10,14-8,+15.00,111.0,96.0,64.7,+.043,+10.82,110.8,100.0,+4.66
45,New Mexico,MWC,19-3,+14.94,113.8,98.8,71.4,+.012,+1.90,105.7,103.8,-2.24
46,Liberty,ASun,18-5,+14.85,110.7,95.9,63.0,-.011,-3.16,103.6,106.7,+1.18
47,Utah,P12,15-8,+14.81,109.1,94.3,66.5,-.041,+3.97,105.7,101.7,-4.87
48,Utah St.,MWC,17-5,+14.74,117.3,102.5,68.4,+.050,+4.91,106.8,101.9,+3.17
49,Mississippi St.,SEC,14-8,+14.63,105.6,91.0,63.7,-.017,+5.66,105.9,100.3,-3.24
50,Missouri,SEC,16-5,+14.58,119.6,105.0,70.2,+.090,+5.11,106.5,101.4,-3.67
51,Florida,SEC,12-9,+14.53,105.8,91.3,69.4,-.070,+7.37,108.9,101.6,+5.21
52,N.C. State,ACC,17-5,+14.27,112.7,98.4,69.7,+.040,+3.32,107.7,104.3,-4.92
53,Virginia Tech,ACC,13-9,+14.16,113.5,99.4,66.4,-.096,+5.78,107.8,102.0,-2.93
54,Seton Hall,BE,13-9,+14.12,107.0,92.8,66.0,-.012,+9.90,109.9,100.0,+4.08
55,Oregon,P12,13-9,+14.04,113.1,99.0,66.4,-.010,+8.12,107.6,99.5,+5.10
56,Nevada,MWC,16-6,+13.82,111.3,97.5,66.0,+.051,+7.30,108.8,101.5,+3.42
57,Oral Roberts,Sum,20-4,+12.92,115.5,102.6,71.0,+.072,-3.17,104.0,107.1,+8.82
58,Washington St.,P12,10-13,+12.79,110.6,97.8,63.7,-.154,+9.25,108.9,99.6,+4.51
59,Dayton,A10,14-8,+12.49,108.2,95.7,63.8,-.077,-0.37,104.2,104.5,-1.65
60,Colorado,P12,12-11,+12.30,106.4,94.1,69.7,-.104,+6.07,107.3,101.2,+2.89
61,UCF,Amer,13-8,+12.07,109.9,97.8,63.6,-.061,+3.67,107.1,103.4,-0.07
62,Sam Houston St.,WAC,16-5,+11.95,107.6,95.6,65.0,+.028,+3.63,106.0,102.4,+7.93
63,Texas Tech,B12,12-10,+11.94,110.4,98.5,67.1,-.081,+4.88,107.7,102.8,-6.61
64,Cincinnati,Amer,14-8,+11.77,110.3,98.5,68.0,-.027,+2.66,106.9,104.2,-3.36
65,Arizona St.,P12,15-7,+11.77,108.0,96.2,68.0,+.065,+5.94,107.1,101.2,-0.09
66,Pittsburgh,ACC,15-7,+11.53,111.6,100.1,66.9,+.036,+3.53,107.5,104.0,-3.71
67,Michigan,B10,11-10,+11.44,111.5,100.1,68.0,-.046,+7.30,108.7,101.4,+0.54
68,Clemson,ACC,18-5,+11.44,109.1,97.6,68.0,+.050,+1.29,105.8,104.6,-5.32
69,Wisconsin,B10,12-8,+10.96,106.9,96.0,62.6,+.043,+9.55,110.0,100.5,+1.75
70,Kent St.,MAC,18-4,+10.86,106.9,96.0,67.8,-.007,-1.59,105.0,106.6,+2.85
71,UAB,CUSA,15-7,+10.85,111.2,100.3,70.8,-.090,-1.09,103.9,105.0,-4.02
72,Villanova,BE,10-11,+10.76,112.8,102.0,63.4,-.108,+7.27,109.0,101.7,+4.02
