Rank,Team,Confrence,Win_Loss,Adjusted_Efficiency_Margin,Adjusted_Offensive_Efficency,Adjusted_Defensive_Efficency,Adjusted_tempo,Luck,Strength_of_Schedule_Rating,Adverage_Adjusted_Offensive_Efficency_of_Opponents,Adverage_Adjusted_Defensive_Efficency_of_Opponents,Non_Confrence_Strength_of_Schedule_Rating
1,Houston,Amer,23-2,+30.09,120.6,90.5,62.8,+.020,+2.81,106.7,103.9,+0.68
2,Alabama,SEC,21-3,+26.99,117.3,90.3,73.6,+.083,+9.67,109.8,100.1,+9.12
3,UCLA,P12,19-4,+26.76,115.9,89.1,65.8,-.016,+7.48,109.2,101.7,+1.29
4,Tennessee,SEC,19-5,+26.62,111.6,85.0,66.3,-.027,+6.34,107.7,101.4,+2.91
5,Purdue,B10,22-2,+26.34,121.0,94.7,63.7,+.012,+7.30,108.7,101.4,+0.77
6,Connecticut,BE,19-6,+25.08,119.4,94.4,67.1,-.059,+7.35,108.5,101.2,-0.35
7,Saint Mary's,WCC,21-4,+23.81,113.5,89.7,61.8,-.026,+4.29,108.5,104.3,+3.83
8,Arizona,P12,21-3,+22.36,118.8,96.4,72.2,+.078,+6.87,107.4,100.6,+3.70
9,Creighton,BE,16-8,+22.09,115.6,93.5,67.9,-.099,+8.83,109.9,101.1,+5.28
10,Texas,B12,19-5,+22.04,118.0,96.0,69.3,+.053,+9.50,109.6,100.1,-1.02
11,Marquette,BE,19-6,+21.99,120.9,98.9,68.9,-.048,+7.91,109.1,101.2,-1.10
12,Kansas,B12,19-5,+21.89,115.6,93.7,69.1,+.090,+12.44,110.9,98.4,+6.70
13,Baylor,B12,18-6,+21.32,121.1,99.8,67.3,+.039,+10.05,110.4,100.3,+1.86
14,Virginia,ACC,18-4,+20.83,115.6,94.8,61.7,+.029,+6.58,109.2,102.6,+2.25
15,West Virginia,B12,15-9,+20.45,117.1,96.6,68.6,-.090,+10.33,110.3,99.9,+2.28
16,Rutgers,B10,16-8,+20.13,107.8,87.7,66.0,-.079,+6.44,109.5,103.0,-6.54
17,Gonzaga,WCC,19-5,+20.11,120.4,100.3,70.0,+.049,+7.83,110.2,102.4,+9.37
18,Iowa St.,B12,16-7,+19.97,111.3,91.3,64.5,+.001,+10.19,111.4,101.3,-1.24
19,Kansas St.,B12,19-5,+19.42,114.0,94.5,69.5,+.053,+8.39,108.2,99.8,-1.37
20,Arkansas,SEC,17-7,+19.37,112.2,92.8,69.3,-.034,+6.96,109.2,102.3,+3.04
21,Indiana,B10,17-7,+19.24,116.7,97.5,68.2,+.008,+7.87,109.2,101.3,-3.89
22,San Diego St.,MWC,19-5,+19.24,114.0,94.8,67.0,+.034,+8.28,109.7,101.5,+6.97
23,Xavier,BE,19-5,+19.04,120.7,101.6,71.3,+.039,+9.15,110.1,100.9,+4.19
24,TCU,B12,17-7,+18.97,112.6,93.7,70.2,-.016,+7.40,108.5,101.1,-6.45
25,Maryland,B10,16-8,+18.70,113.6,94.9,65.2,-.011,+7.52,108.8,101.2,-3.42
26,Illinois,B10,16-7,+18.55,112.5,93.9,69.2,-.025,+6.14,107.7,101.5,-4.65
27,Auburn,SEC,17-7,+18.30,111.9,93.6,67.8,-.029,+7.16,107.8,100.7,+3.64
28,Boise St.,MWC,18-6,+17.52,108.8,91.3,66.8,-.010,+5.14,108.4,103.3,+0.78
29,Providence,BE,18-6,+17.42,116.2,98.8,66.8,-.013,+4.09,107.3,103.2,-7.84
30,Miami FL,ACC,19-5,+17.29,119.1,101.8,68.3,+.009,+5.26,107.3,102.0,-0.90
31,Oklahoma St.,B12,15-9,+17.23,108.0,90.8,67.5,-.043,+9.26,109.6,100.4,+0.87
32,Iowa,B10,15-8,+16.78,121.0,104.2,69.7,-.032,+8.27,107.8,99.5,-2.01
33,Florida Atlantic,CUSA,22-2,+16.56,114.2,97.6,67.7,+.069,+0.50,105.3,104.8,-2.98
34,Ohio St.,B10,11-12,+16.46,117.1,100.7,67.0,-.187,+8.71,108.8,100.1,-2.73
35,Duke,ACC,17-7,+16.37,112.2,95.8,65.5,+.041,+6.92,109.8,102.8,+2.75
36,Texas A&M,SEC,17-7,+16.02,115.4,99.4,66.7,+.003,+3.88,106.5,102.7,-2.03
37,North Carolina,ACC,15-9,+15.99,113.8,97.8,69.2,-.072,+8.15,109.8,101.6,+7.70
38,Memphis,Amer,18-6,+15.91,113.7,97.8,71.9,-.091,+4.79,107.4,102.6,+5.43
39,Nevada,MWC,19-6,+15.58,113.4,97.8,65.8,+.061,+7.48,109.4,101.9,+3.34
40,Kentucky,SEC,16-8,+15.56,116.2,100.7,65.5,-.000,+5.82,108.2,102.4,-0.11
41,Utah St.,MWC,19-6,+15.45,118.1,102.6,68.1,+.032,+5.57,108.0,102.5,+2.83
42,Michigan St.,B10,15-9,+15.33,110.6,95.2,65.0,+.038,+11.46,111.6,100.1,+4.77
43,USC,P12,17-6,+15.17,113.1,98.0,68.0,+.049,+6.74,106.7,99.9,+1.29
44,Florida,SEC,13-11,+15.03,107.1,92.1,69.1,-.067,+9.55,110.4,100.9,+5.06
45,Mississippi St.,SEC,16-8,+14.80,104.9,90.1,63.8,-.001,+4.88,106.7,101.9,-3.69
46,New Mexico,MWC,19-5,+14.63,114.8,100.1,71.0,-.008,+3.21,107.1,103.9,-2.00
47,Liberty,ASun,19-6,+14.42,111.4,97.0,63.5,-.026,-2.63,104.1,106.8,+1.78
48,Oregon,P12,14-10,+14.28,113.8,99.5,66.8,-.002,+9.45,108.9,99.5,+5.57
49,N.C. State,ACC,19-6,+14.06,113.0,98.9,69.3,+.040,+2.97,107.6,104.7,-4.78
50,Oral Roberts,Sum,21-4,+14.01,116.4,102.4,71.0,+.067,-3.47,104.3,107.7,+8.17
51,Utah,P12,16-9,+13.79,109.5,95.7,66.3,-.051,+2.95,105.8,102.8,-4.95
52,Michigan,B10,14-10,+13.76,113.5,99.8,67.9,-.032,+7.21,109.1,101.9,+0.36
53,Missouri,SEC,18-6,+13.51,119.4,105.9,70.0,+.085,+4.42,106.9,102.5,-4.09
54,Oklahoma,B12,12-12,+13.51,112.3,98.8,64.8,-.036,+11.85,109.9,98.0,+3.81
55,Penn St.,B10,14-10,+13.40,115.7,102.3,64.7,-.036,+7.17,108.4,101.2,-3.99
56,Seton Hall,BE,15-10,+13.28,107.2,93.9,66.3,+.006,+9.34,109.9,100.6,+3.56
57,Northwestern,B10,16-7,+13.09,109.1,96.0,65.4,+.057,+5.70,107.1,101.4,-3.51
58,Colorado,P12,14-11,+13.03,107.0,93.9,69.7,-.097,+5.07,107.3,102.2,+2.83
59,Virginia Tech,ACC,14-10,+12.97,114.1,101.2,66.7,-.094,+5.27,107.8,102.6,-3.81
