Rank,Team,Confrence,Win_Loss,Adjusted_Efficiency_Margin,Adjusted_Offensive_Efficency,Adjusted_Defensive_Efficency,Adjusted_tempo,Luck,Strength_of_Schedule_Rating,Adverage_Adjusted_Offensive_Efficency_of_Opponents,Adverage_Adjusted_Defensive_Efficency_of_Opponents,Non_Confrence_Strength_of_Schedule_Rating
1,Houston,Amer,23-2,+30.23,120.4,90.2,62.9,+.020,+3.01,106.6,103.6,+1.04
2,Alabama,SEC,22-3,+27.48,117.4,89.9,73.5,+.088,+10.41,109.9,99.5,+9.45
3,UCLA,P12,21-4,+26.94,115.1,88.2,66.0,-.007,+7.80,109.0,101.2,+1.34
4,Purdue,B10,23-3,+25.76,119.9,94.2,64.3,-.000,+8.02,108.9,100.9,+0.63
5,Tennessee,SEC,19-6,+25.75,112.3,86.6,66.2,-.049,+6.62,108.0,101.4,+3.01
6,Connecticut,BE,19-7,+24.93,118.5,93.5,66.9,-.075,+8.23,108.6,100.3,-0.34
7,Saint Mary's,WCC,22-5,+23.75,113.9,90.1,61.9,-.043,+4.93,109.0,104.1,+4.08
8,Kansas,B12,20-5,+22.84,115.2,92.4,69.6,+.085,+12.63,110.6,98.0,+6.78
9,Texas,B12,20-6,+22.66,118.1,95.5,69.3,+.032,+10.20,109.9,99.7,-0.87
10,Creighton,BE,17-8,+22.28,114.8,92.5,67.7,-.084,+9.44,109.9,100.5,+5.65
11,Baylor,B12,20-6,+22.27,122.1,99.8,66.7,+.051,+10.99,110.4,99.4,+2.39
12,Marquette,BE,20-6,+22.07,120.9,98.9,69.3,-.046,+7.71,108.6,100.9,-0.63
13,Arizona,P12,22-4,+21.45,119.1,97.7,72.4,+.060,+6.74,106.9,100.2,+3.64
14,Virginia,ACC,19-4,+20.77,114.9,94.1,61.8,+.035,+6.85,109.1,102.2,+2.54
15,Gonzaga,WCC,21-5,+20.21,121.1,100.9,70.2,+.054,+7.65,109.8,102.2,+9.80
16,Rutgers,B10,16-9,+19.51,107.4,87.9,66.3,-.089,+7.09,109.2,102.1,-6.81
17,San Diego St.,MWC,20-5,+19.31,114.2,94.9,67.1,+.035,+8.17,109.5,101.3,+6.78
18,Iowa St.,B12,16-8,+19.28,110.5,91.2,64.8,-.014,+10.59,111.0,100.4,-1.22
19,Indiana,B10,18-7,+19.07,115.8,96.7,68.2,+.023,+8.35,109.0,100.7,-3.89
20,Illinois,B10,17-7,+18.98,112.5,93.5,69.4,-.016,+6.65,107.4,100.7,-4.47
21,Kansas St.,B12,19-6,+18.88,112.6,93.7,70.1,+.038,+8.84,108.2,99.4,-1.67
22,Arkansas,SEC,17-8,+18.72,111.8,93.1,69.5,-.047,+7.39,109.0,101.7,+3.45
23,TCU,B12,17-8,+18.59,112.3,93.7,70.1,-.034,+8.00,108.7,100.7,-5.96
24,West Virginia,B12,15-11,+18.57,116.4,97.8,68.4,-.060,+11.79,110.9,99.1,+2.35
25,Maryland,B10,17-8,+18.40,113.4,95.0,65.5,+.000,+7.31,108.4,101.1,-3.66
26,Xavier,BE,19-6,+18.36,119.8,101.5,71.4,+.017,+9.09,109.5,100.4,+3.84
27,Oklahoma St.,B12,16-9,+18.01,107.9,89.9,67.8,-.034,+9.88,109.5,99.6,+0.88
28,Auburn,SEC,17-8,+17.81,111.6,93.8,67.7,-.037,+7.82,107.9,100.1,+3.52
29,Boise St.,MWC,19-6,+17.47,108.6,91.1,66.9,-.007,+4.73,108.2,103.4,+0.66
30,Michigan St.,B10,16-9,+17.10,110.5,93.4,64.8,+.029,+11.87,111.6,99.7,+5.10
31,Miami FL,ACC,21-5,+17.05,119.3,102.3,68.5,+.017,+5.07,107.2,102.1,-1.25
32,Providence,BE,18-7,+16.80,115.4,98.6,67.0,-.029,+4.57,107.1,102.6,-8.10
33,Texas A&M,SEC,18-7,+16.46,115.7,99.2,66.5,+.006,+4.04,106.6,102.5,-1.99
34,Iowa,B10,16-9,+16.37,120.0,103.6,70.1,-.030,+8.61,107.7,99.1,-2.47
35,Duke,ACC,17-8,+16.05,111.5,95.4,65.6,+.024,+7.38,109.6,102.2,+2.46
36,Nevada,MWC,20-6,+15.85,113.6,97.7,66.0,+.061,+7.31,109.1,101.7,+3.84
37,Memphis,Amer,19-6,+15.84,114.0,98.1,72.0,-.088,+4.66,107.2,102.5,+5.59
38,North Carolina,ACC,16-10,+15.76,113.6,97.8,69.5,-.079,+8.13,109.6,101.5,+7.57
39,Florida Atlantic,CUSA,24-2,+15.76,113.8,98.0,68.3,+.077,+0.15,105.3,105.2,-2.95
40,Mississippi St.,SEC,17-8,+15.70,105.2,89.5,64.0,+.010,+5.92,107.1,101.2,-3.25
41,N.C. State,ACC,20-6,+15.29,113.5,98.2,69.5,+.035,+3.15,107.4,104.3,-4.56
42,Utah St.,MWC,19-7,+15.19,117.1,101.9,68.3,+.015,+6.09,108.4,102.3,+3.12
43,Oregon,P12,15-11,+15.02,113.8,98.8,66.9,-.013,+10.09,108.9,98.8,+5.83
44,Kentucky,SEC,16-9,+14.86,115.6,100.7,65.7,-.015,+6.26,108.3,102.0,+0.35
45,Liberty,ASun,21-6,+14.68,111.4,96.8,63.9,-.018,-2.95,103.8,106.7,+2.34
46,Utah,P12,17-9,+14.45,109.9,95.5,66.3,-.043,+3.48,105.5,102.0,-4.42
47,Northwestern,B10,18-7,+14.40,109.1,94.7,65.6,+.075,+6.86,107.6,100.7,-3.42
48,Missouri,SEC,19-6,+14.28,120.9,106.7,69.9,+.098,+5.45,106.9,101.5,-4.32
49,Oral Roberts,Sum,23-4,+13.84,117.1,103.2,71.1,+.081,-3.20,104.5,107.7,+8.01
50,Florida,SEC,13-12,+13.84,106.7,92.9,69.5,-.079,+9.12,110.1,101.0,+4.77
51,Ohio St.,B10,11-14,+13.81,114.8,101.0,66.7,-.183,+8.93,108.4,99.4,-2.51
52,New Mexico,MWC,19-6,+13.78,114.7,100.9,71.2,-.003,+3.77,107.2,103.5,-1.44
53,Michigan,B10,14-11,+13.70,112.7,99.0,68.0,-.052,+7.61,108.9,101.3,+0.54
54,USC,P12,17-8,+13.39,111.6,98.2,68.1,+.042,+7.21,106.7,99.5,+1.39
55,Penn St.,B10,14-11,+13.30,115.6,102.3,64.8,-.050,+7.89,108.5,100.6,-4.09
56,Seton Hall,BE,15-11,+13.08,106.3,93.3,66.5,-.012,+9.66,109.8,100.1,+3.33
57,UCF,Amer,15-9,+13.06,110.5,97.4,64.2,-.058,+3.69,107.3,103.6,-0.24
58,Pittsburgh,ACC,18-7,+12.90,112.8,99.9,66.9,+.051,+3.36,107.7,104.4,-3.47
59,North Texas,CUSA,21-5,+12.88,109.1,96.3,58.2,+.097,+1.57,105.9,104.3,+1.66
60,Colorado,P12,14-12,+12.78,107.0,94.2,69.7,-.099,+5.90,107.2,101.3,+3.14
61,Virginia Tech,ACC,15-10,+12.69,114.9,102.2,67.0,-.081,+5.06,107.8,102.8,-3.83
62,Cincinnati,Amer,17-9,+12.60,110.5,97.9,68.7,-.032,+2.49,107.1,104.7,-2.96
63,Texas Tech,B12,14-12,+12.55,110.5,97.9,67.5,-.059,+7.86,109.3,101.5,-6.06
64,Oklahoma,B12,12-13,+12.39,110.8,98.4,65.4,-.031,+12.25,109.9,97.7,+3.89
65,Washington St.,P12,11-15,+11.87,109.8,98.0,64.0,-.126,+10.07,109.7,99.6,+4.56
66,Arizona St.,P12,18-8,+11.74,107.7,96.0,68.5,+.066,+5.62,107.1,101.4,+0.12
67,UAB,CUSA,18-8,+11.68,112.5,100.8,70.9,-.082,-0.34,104.7,105.0,-4.48
68,Charleston,CAA,25-3,+11.57,112.0,100.5,70.6,+.043,-4.62,103.1,107.7,-1.32
69,Villanova,BE,12-13,+11.43,112.7,101.2,63.6,-.102,+8.15,109.4,101.2,+4.15
70,Dayton,A10,17-9,+11.29,108.6,97.3,63.6,-.049,-0.18,104.5,104.7,-1.98
71,Wisconsin,B10,14-10,+11.15,106.5,95.3,63.0,+.035,+10.30,110.6,100.3,+1.00
72,Sam Houston St.,WAC,18-6,+11.08,108.7,97.7,64.1,+.037,+3.03,106.0,102.9,+7.95
73,Kent St.,MAC,20-5,+10.83,106.3,95.5,67.8,+.005,-1.09,105.8,106.9,+2.96
74,Wake Forest,ACC,17-9,+10.79,114.6,103.8,69.7,+.016,+4.60,106.8,102.2,-1.14
75,Marshall,SB,21-6,+10.77,111.5,100.7,71.7,-.064,-3.55,103.2,106.7,-4.42
76,Yale,Ivy,17-6,+10.60,110.2,99.6,66.2,-.037,-2.61,102.3,105.0,+0.15
77,Iona,MAAC,18-7,+10.40,109.0,98.6,69.2,-.020,-1.63,103.5,105.1,+4.02
78,Drake,MVC,21-6,+10.11,109.0,98.9,66.3,+.031,-2.18,103.7,105.8,-1.95
79,Clemson,ACC,18-7,+10.08,108.8,98.7,68.1,+.044,+2.15,107.1,105.0,-5.63
80,Bradley,MVC,19-8,+10.04,108.0,98.0,65.7,+.007,-2.21,103.2,105.4,+0.18
81,BYU,WCC,16-12,+9.98,106.4,96.5,70.3,-.094,+4.26,107.8,103.5,+1.49
82,Furman,SC,21-6,+9.97,114.0,104.0,69.0,-.023,-4.00,104.1,108.1,-2.14
83,Tulane,Amer,16-7,+9.67,111.6,102.0,72.8,+.002,+0.63,105.3,104.6,-6.67
84,VCU,A10,18-7,+9.62,104.7,95.1,68.4,+.008,+0.09,104.5,104.4,-1.92
85,UNLV,MWC,16-9,+9.57,109.0,99.4,69.6,-.023,+4.05,107.3,103.2,-2.46
86,Utah Valley,WAC,20-6,+9.36,107.6,98.3,69.2,+.057,+1.63,106.0,104.4,+4.57
87,Southern Miss,SB,23-4,+9.19,109.7,100.5,68.1,+.069,-2.15,103.7,105.8,-3.04
88,Syracuse,ACC,15-10,+8.70,111.1,102.4,67.3,-.022,+2.05,107.2,105.1,-4.55
89,St. John's,BE,15-11,+8.63,108.1,99.5,73.3,+.016,+5.72,107.1,101.4,-6.56
90,Vanderbilt,SEC,13-12,+8.20,113.4,105.2,66.0,+.041,+8.99,108.8,99.8,+1.92
91,Santa Clara,WCC,19-8,+7.88,110.1,102.2,69.8,+.113,+3.89,108.0,104.1,+0.66
92,Hofstra,CAA,20-8,+7.86,110.3,102.5,67.2,+.054,-1.14,104.1,105.2,+7.01
93,Loyola Marymount,WCC,17-10,+7.63,109.7,102.1,67.3,+.042,+3.81,108.4,104.6,+0.63
94,UC Irvine,BW,17-8,+7.51,108.0,100.5,69.2,-.046,-0.41,103.7,104.1,+3.34
95,Stanford,P12,11-14,+7.45,111.4,104.0,65.5,-.113,+5.98,106.7,100.7,-0.22
96,James Madison,SB,18-9,+7.28,105.8,98.5,70.7,-.072,-1.75,103.3,105.1,-4.12
97,UC Santa Barbara,BW,20-4,+7.21,108.6,101.4,65.0,+.021,-3.86,102.1,105.9,-3.04
98,Indiana St.,MVC,18-9,+7.12,109.3,102.2,70.8,-.081,-4.45,102.0,106.4,-6.17
99,Toledo,MAC,19-6,+6.71,116.6,109.9,70.1,+.038,-3.14,104.1,107.3,-1.27
100,San Jose St.,MWC,15-10,+6.65,110.8,104.1,62.9,+.052,+4.32,107.4,103.0,-1.17
101,Louisiana,SB,20-6,+6.47,112.9,106.4,68.5,+.093,-0.12,104.1,104.2,-0.21
102,Nebraska,B10,12-14,+6.35,104.9,98.5,66.4,+.034,+10.82,110.6,99.8,+1.93
