Rank,Team,Confrence,Win_Loss,Adjusted_Efficiency_Margin,Adjusted_Offensive_Efficency,Adjusted_Defensive_Efficency,Adjusted_tempo,Luck,Strength_of_Schedule_Rating,Adverage_Adjusted_Offensive_Efficency_of_Opponents,Adverage_Adjusted_Defensive_Efficency_of_Opponents,Non_Confrence_Strength_of_Schedule_Rating
1,Houston,Amer,26-2,+29.86,120.0,90.1,63.3,+.024,+2.45,106.1,103.7,-0.09
2,UCLA,P12,23-4,+27.06,114.9,87.8,66.3,-.004,+6.41,108.2,101.8,+0.70
3,Alabama,SEC,24-4,+26.82,116.7,89.8,73.2,+.078,+9.69,109.4,99.7,+9.38
4,Purdue,B10,24-4,+25.37,119.0,93.6,64.4,+.010,+7.84,109.1,101.2,-0.24
5,Connecticut,BE,21-7,+25.10,118.8,93.7,67.0,-.065,+7.38,107.6,100.3,-1.46
6,Tennessee,SEC,20-8,+24.59,110.8,86.2,66.2,-.060,+7.80,108.6,100.8,+2.41
7,Kansas,B12,23-5,+24.12,116.2,92.1,69.6,+.089,+12.73,110.5,97.7,+6.31
8,Saint Mary's,WCC,24-5,+23.02,113.2,90.2,61.9,-.023,+4.44,108.7,104.2,+3.65
9,Texas,B12,22-6,+22.69,117.9,95.2,69.4,+.042,+9.45,109.4,99.9,-1.31
10,Arizona,P12,24-4,+22.33,119.2,96.9,72.6,+.058,+6.37,106.3,100.0,+3.00
11,Marquette,BE,22-6,+22.08,120.4,98.3,69.2,-.019,+7.98,108.5,100.5,-1.35
12,Creighton,BE,18-10,+21.86,114.2,92.4,67.9,-.101,+9.94,110.0,100.0,+5.85
13,Gonzaga,WCC,23-5,+21.54,122.0,100.4,70.7,+.054,+7.22,109.6,102.4,+9.36
14,Baylor,B12,20-8,+20.83,121.6,100.7,66.6,+.037,+11.58,110.4,98.8,+1.46
15,Arkansas,SEC,19-9,+19.72,112.3,92.5,69.6,-.059,+7.05,108.5,101.4,+3.30
16,San Diego St.,MWC,22-5,+19.64,112.9,93.2,67.0,+.041,+7.50,109.1,101.6,+6.48
17,Maryland,B10,19-9,+18.87,113.7,94.9,65.5,-.012,+6.61,107.9,101.3,-4.34
18,Kansas St.,B12,21-7,+18.70,111.9,93.2,70.0,+.046,+8.99,108.5,99.5,-2.60
19,Iowa St.,B12,17-10,+18.59,109.5,90.9,64.6,-.020,+11.14,110.9,99.8,-2.21
20,West Virginia,B12,16-12,+18.45,116.5,98.0,68.8,-.068,+10.88,110.1,99.2,+1.87
21,TCU,B12,18-10,+18.36,111.8,93.4,70.4,-.055,+8.45,108.6,100.1,-7.08
22,Auburn,SEC,19-9,+18.00,111.2,93.2,68.1,-.045,+7.10,107.9,100.8,+3.21
23,Xavier,BE,20-8,+17.93,118.0,100.1,71.3,-.024,+8.40,109.3,100.9,+3.18
24,Indiana,B10,19-9,+17.78,114.8,97.0,68.3,+.010,+8.91,109.1,100.2,-4.36
25,Texas A&M,SEC,21-7,+17.77,115.1,97.3,66.2,+.029,+4.82,106.9,102.1,-2.83
26,Boise St.,MWC,22-6,+17.65,109.8,92.1,67.3,+.026,+5.07,108.1,103.0,+0.57
27,Rutgers,B10,17-10,+17.60,107.2,89.6,66.5,-.080,+6.17,108.4,102.3,-7.80
28,Illinois,B10,18-9,+17.21,112.3,95.1,69.8,-.035,+6.16,107.2,101.1,-6.26
29,Miami FL,ACC,23-5,+16.99,119.0,102.0,68.9,+.024,+4.48,107.1,102.6,-2.27
30,Michigan St.,B10,17-10,+16.91,111.3,94.4,65.0,+.024,+11.41,111.2,99.7,+4.60
31,Providence,BE,20-8,+16.86,116.5,99.6,67.4,-.006,+5.31,107.1,101.8,-8.78
32,Kentucky,SEC,19-9,+16.66,117.2,100.5,65.8,+.012,+7.40,108.1,100.7,+0.37
33,Nevada,MWC,21-7,+16.36,113.2,96.8,66.1,+.047,+7.19,109.0,101.9,+3.32
34,Virginia,ACC,21-5,+16.22,111.1,94.9,61.8,+.063,+4.43,107.8,103.4,+1.55
35,Utah St.,MWC,22-7,+16.22,116.5,100.3,68.7,+.021,+5.58,107.8,102.2,+2.83
36,Duke,ACC,20-8,+15.98,111.4,95.4,65.6,+.035,+5.16,108.4,103.2,+1.34
37,Memphis,Amer,20-7,+15.82,112.8,97.0,72.3,-.065,+5.16,107.3,102.1,+5.38
38,N.C. State,ACC,22-7,+15.50,113.8,98.3,69.5,+.021,+3.06,107.3,104.2,-5.32
39,Oklahoma St.,B12,16-12,+15.48,108.3,92.8,68.3,-.023,+10.72,109.6,98.9,+0.08
40,Florida Atlantic,CUSA,24-3,+15.47,113.1,97.6,68.6,+.057,+0.16,105.3,105.1,-3.19
41,Mississippi St.,SEC,18-10,+15.19,104.7,89.5,63.9,-.018,+5.99,107.4,101.4,-3.84
42,Northwestern,B10,20-7,+15.17,109.0,93.8,65.6,+.083,+6.34,107.5,101.2,-4.20
43,Oregon,P12,15-13,+14.97,113.7,98.7,66.7,-.047,+10.11,108.7,98.6,+5.69
44,Iowa,B10,17-11,+14.85,118.7,103.9,69.9,-.027,+8.52,107.6,99.1,-3.20
45,North Carolina,ACC,17-11,+14.65,112.2,97.5,69.5,-.071,+7.37,109.3,102.0,+6.42
46,Liberty,ASun,23-7,+14.57,112.2,97.7,64.8,-.024,-2.95,103.3,106.3,+1.39
47,New Mexico,MWC,20-8,+14.46,115.0,100.5,71.5,-.013,+4.31,107.2,102.9,-1.22
48,USC,P12,19-8,+14.21,112.3,98.1,68.7,+.038,+5.81,105.9,100.1,+0.95
49,Michigan,B10,15-12,+13.94,113.0,99.1,68.3,-.058,+7.42,108.5,101.1,-0.45
50,Texas Tech,B12,16-12,+13.85,111.0,97.2,67.8,-.036,+8.08,109.4,101.3,-6.70
51,Penn St.,B10,16-11,+13.70,116.6,102.9,65.3,-.031,+6.97,107.9,100.9,-4.93
52,Colorado,P12,15-13,+13.63,107.0,93.3,69.7,-.093,+6.78,107.5,100.7,+3.19
53,North Texas,CUSA,23-5,+13.57,110.7,97.1,58.5,+.102,+1.37,105.4,104.0,+1.13
54,Utah,P12,17-11,+13.48,109.0,95.5,66.4,-.045,+4.55,106.0,101.4,-4.65
55,Florida,SEC,14-14,+13.04,107.3,94.3,69.7,-.082,+8.82,109.6,100.8,+4.31
56,Oklahoma,B12,13-15,+12.68,110.8,98.1,65.8,-.047,+12.04,109.9,97.9,+3.55
57,Washington St.,P12,13-15,+12.56,110.4,97.9,64.3,-.102,+9.11,109.0,99.9,+4.43
58,Oral Roberts,Sum,25-4,+12.54,115.2,102.7,71.1,+.097,-4.55,103.6,108.2,+7.31
59,Seton Hall,BE,16-12,+12.45,105.2,92.7,67.3,-.012,+8.81,109.0,100.2,+2.05
60,Dayton,A10,19-9,+12.43,108.4,95.9,63.8,-.044,-0.55,104.1,104.6,-1.90
61,Pittsburgh,ACC,20-8,+12.39,113.0,100.6,67.0,+.041,+2.13,106.8,104.7,-3.76
62,Missouri,SEC,20-8,+12.34,118.3,106.0,69.8,+.108,+6.25,107.1,100.9,-5.00
