Rank,Team,Confrence,Win_Loss,Adjusted_Efficiency_Margin,Adjusted_Offensive_Efficency,Adjusted_Defensive_Efficency,Adjusted_tempo,Luck,Strength_of_Schedule_Rating,Adverage_Adjusted_Offensive_Efficency_of_Opponents,Adverage_Adjusted_Defensive_Efficency_of_Opponents,Non_Confrence_Strength_of_Schedule_Rating
1,Houston,Amer,22-2,+29.59,120.5,90.9,62.8,+.023,+3.64,106.9,103.3,+0.58
2,Tennessee,SEC,19-4,+27.60,111.5,83.9,66.6,-.003,+6.28,107.4,101.1,+3.09
3,UCLA,P12,19-4,+26.77,115.8,89.0,65.8,-.016,+7.61,109.2,101.6,+1.48
4,Purdue,B10,22-2,+26.46,121.0,94.5,63.7,+.012,+7.59,108.8,101.2,+0.97
5,Alabama,SEC,20-3,+26.03,116.3,90.2,73.5,+.088,+9.66,109.9,100.2,+9.11
6,Connecticut,BE,18-6,+24.40,118.7,94.3,67.1,-.063,+7.03,108.0,101.0,-0.07
7,Saint Mary's,WCC,21-4,+23.62,113.3,89.7,61.7,-.026,+4.25,108.5,104.2,+3.71
8,Marquette,BE,19-5,+22.61,120.8,98.2,68.8,-.064,+7.18,108.6,101.4,-0.85
9,Arizona,P12,21-3,+22.29,118.7,96.4,72.1,+.078,+6.94,107.3,100.4,+3.78
10,Texas,B12,19-5,+22.03,117.9,95.9,69.2,+.053,+9.60,109.6,100.0,-0.93
11,Kansas,B12,19-5,+22.00,115.6,93.6,69.1,+.090,+12.69,110.9,98.2,+7.06
12,Baylor,B12,17-6,+21.25,120.8,99.6,67.1,+.033,+10.22,110.3,100.1,+1.84
13,Creighton,BE,15-8,+21.23,114.7,93.4,68.1,-.105,+8.50,109.8,101.3,+5.30
14,West Virginia,B12,14-9,+20.45,117.0,96.5,68.3,-.106,+10.37,110.3,99.9,+2.55
15,Virginia,ACC,17-4,+20.42,115.7,95.3,62.0,+.030,+6.67,109.1,102.5,+2.31
16,Rutgers,B10,16-7,+20.41,107.8,87.4,66.2,-.065,+5.74,109.0,103.3,-6.41
17,TCU,B12,17-6,+20.12,113.4,93.3,70.1,-.024,+6.53,108.0,101.5,-6.27
18,Gonzaga,WCC,19-5,+20.04,120.3,100.3,70.0,+.049,+7.93,110.1,102.2,+9.51
19,Iowa St.,B12,16-6,+19.99,111.2,91.3,64.2,+.022,+9.46,110.9,101.5,-1.07
20,Indiana,B10,16-7,+19.07,116.4,97.4,68.4,-.003,+7.66,109.3,101.6,-3.72
21,Xavier,BE,19-5,+18.99,120.6,101.6,71.2,+.039,+9.31,110.0,100.7,+4.39
22,Maryland,B10,16-7,+18.97,114.1,95.1,65.1,+.008,+6.99,108.3,101.4,-3.20
23,San Diego St.,MWC,18-5,+18.93,114.5,95.6,67.1,+.021,+7.72,109.1,101.4,+6.92
24,Auburn,SEC,17-6,+18.59,111.6,93.0,67.6,-.013,+6.70,107.3,100.6,+3.79
25,Illinois,B10,16-7,+18.55,112.4,93.9,69.2,-.025,+6.31,107.6,101.3,-4.60
26,Kansas St.,B12,18-5,+18.36,113.7,95.3,69.3,+.056,+8.29,108.1,99.8,-1.17
27,Arkansas,SEC,16-7,+18.15,111.1,93.0,69.1,-.037,+6.33,108.5,102.2,+3.01
28,Providence,BE,17-6,+17.85,116.7,98.9,66.8,-.017,+5.14,107.6,102.5,-7.52
