Rank,Team,Confrence,Win_Loss,Adjusted_Efficiency_Margin,Adjusted_Offensive_Efficency,Adjusted_Defensive_Efficency,Adjusted_tempo,Luck,Strength_of_Schedule_Rating,Adverage_Adjusted_Offensive_Efficency_of_Opponents,Adverage_Adjusted_Defensive_Efficency_of_Opponents,Non_Confrence_Strength_of_Schedule_Rating
1,Houston,Amer,22-2,+29.62,120.4,90.8,62.8,+.023,+3.62,106.8,103.2,+0.61
2,Tennessee,SEC,19-4,+27.50,111.3,83.8,66.6,-.003,+6.14,107.3,101.1,+3.04
3,UCLA,P12,19-4,+26.70,115.6,88.9,65.8,-.016,+7.52,109.1,101.5,+1.33
4,Purdue,B10,22-2,+26.43,120.9,94.5,63.7,+.012,+7.51,108.6,101.1,+0.86
5,Alabama,SEC,20-3,+26.00,116.1,90.1,73.5,+.088,+9.58,109.8,100.2,+9.09
6,Connecticut,BE,19-6,+25.14,119.3,94.2,67.1,-.059,+7.53,108.4,100.9,-0.09
7,Saint Mary's,WCC,21-4,+23.70,113.2,89.5,61.8,-.026,+4.30,108.4,104.1,+3.80
8,Arizona,P12,21-3,+22.30,118.6,96.3,72.2,+.078,+6.91,107.2,100.3,+3.74
9,Texas,B12,19-5,+22.09,117.9,95.8,69.2,+.053,+9.62,109.4,99.8,-0.97
10,Marquette,BE,19-6,+22.05,120.8,98.7,68.8,-.048,+8.07,109.0,100.9,-1.02
11,Kansas,B12,19-5,+21.95,115.5,93.5,69.1,+.090,+12.61,110.7,98.1,+6.86
12,Creighton,BE,15-8,+21.30,114.6,93.3,68.1,-.105,+8.53,109.7,101.2,+5.38
13,Baylor,B12,17-6,+21.28,120.8,99.5,67.1,+.033,+10.25,110.2,100.0,+1.91
14,Virginia,ACC,18-4,+20.90,115.4,94.5,61.7,+.029,+6.77,109.1,102.4,+2.27
15,West Virginia,B12,14-9,+20.41,116.8,96.4,68.3,-.106,+10.28,110.2,99.9,+2.50
16,Rutgers,B10,16-8,+20.19,107.7,87.5,66.0,-.079,+6.63,109.3,102.7,-6.40
17,Gonzaga,WCC,19-5,+20.02,120.2,100.2,69.9,+.049,+7.86,110.0,102.2,+9.39
18,Iowa St.,B12,16-6,+19.98,111.1,91.2,64.2,+.022,+9.42,110.8,101.4,-1.17
19,Kansas St.,B12,19-5,+19.52,113.9,94.3,69.5,+.053,+8.61,108.1,99.5,-1.12
20,Indiana,B10,17-7,+19.26,116.5,97.3,68.1,+.008,+8.01,109.0,101.0,-3.80
21,Arkansas,SEC,17-7,+19.20,112.0,92.8,69.2,-.034,+6.91,109.0,102.1,+2.99
22,Xavier,BE,19-5,+19.03,120.5,101.5,71.3,+.039,+9.29,109.9,100.6,+4.33
23,TCU,B12,17-7,+19.01,112.4,93.4,70.2,-.016,+7.54,108.4,100.8,-6.35
24,San Diego St.,MWC,18-5,+18.99,114.4,95.4,67.1,+.021,+7.75,109.1,101.4,+7.00
25,Maryland,B10,16-8,+18.63,113.4,94.8,65.2,-.011,+7.54,108.5,100.9,-3.41
26,Illinois,B10,16-7,+18.55,112.3,93.8,69.2,-.025,+6.26,107.5,101.2,-4.66
27,Auburn,SEC,17-7,+18.32,111.7,93.4,67.8,-.029,+7.29,107.7,100.4,+3.70
28,Providence,BE,17-6,+17.79,116.6,98.8,66.8,-.017,+5.06,107.5,102.4,-7.56
29,Oklahoma St.,B12,14-9,+17.69,108.0,90.3,67.5,-.059,+9.71,109.6,99.9,+1.20
30,Boise St.,MWC,18-6,+17.48,108.5,91.0,66.8,-.010,+5.23,108.3,103.1,+0.93
31,Miami FL,ACC,19-5,+17.35,118.9,101.6,68.3,+.009,+5.44,107.2,101.8,-0.81
32,Iowa,B10,15-8,+16.82,120.9,104.0,69.7,-.032,+8.43,107.6,99.2,-1.80
33,Florida Atlantic,CUSA,22-2,+16.60,114.0,97.4,67.7,+.069,+0.62,105.1,104.5,-2.87
34,Ohio St.,B10,11-12,+16.43,116.9,100.5,67.0,-.187,+8.78,108.6,99.9,-2.55
35,Duke,ACC,17-7,+16.38,112.0,95.6,65.5,+.041,+7.02,109.6,102.6,+2.83
36,Texas A&M,SEC,17-7,+16.09,115.3,99.2,66.6,+.003,+4.08,106.4,102.3,-1.78
37,North Carolina,ACC,15-9,+15.94,113.6,97.7,69.3,-.072,+8.20,109.5,101.3,+7.64
38,Florida,SEC,13-10,+15.86,106.9,91.0,69.0,-.076,+8.77,110.0,101.2,+5.28
39,Utah St.,MWC,19-5,+15.49,118.5,103.1,68.2,+.055,+5.15,107.7,102.5,+2.78
40,Nevada,MWC,19-6,+15.48,113.1,97.6,65.8,+.061,+7.49,109.3,101.8,+3.37
41,Kentucky,SEC,16-8,+15.46,116.1,100.6,65.5,-.000,+5.82,107.9,102.1,-0.21
42,Memphis,Amer,17-6,+15.31,112.9,97.6,71.7,-.092,+4.89,107.2,102.3,+5.57
43,Michigan St.,B10,15-9,+15.27,110.4,95.2,65.0,+.038,+11.51,111.3,99.8,+4.74
44,USC,P12,17-6,+15.11,113.0,97.9,67.9,+.049,+6.78,106.4,99.6,+1.29
45,Mississippi St.,SEC,15-8,+14.77,104.9,90.1,63.8,-.008,+5.43,106.7,101.3,-3.60
46,New Mexico,MWC,19-5,+14.56,114.5,99.9,71.0,-.008,+3.26,107.0,103.7,-1.95
47,Virginia Tech,ACC,14-9,+14.36,114.1,99.7,66.6,-.082,+5.92,108.1,102.2,-3.48
48,Liberty,ASun,19-6,+14.28,111.2,96.9,63.5,-.026,-2.62,103.9,106.5,+1.64
49,Oregon,P12,14-10,+14.17,113.5,99.3,66.7,-.002,+9.43,108.7,99.3,+5.48
