Rank,Team,Confrence,Win_Loss,Adjusted_Efficiency_Margin,Adjusted_Offensive_Efficency,Adjusted_Defensive_Efficency,Adjusted_tempo,Luck,Strength_of_Schedule_Rating,Adverage_Adjusted_Offensive_Efficency_of_Opponents,Adverage_Adjusted_Defensive_Efficency_of_Opponents,Non_Confrence_Strength_of_Schedule_Rating
1,Houston,Amer,27-2,+29.87,120.8,90.9,63.3,+.023,+2.79,107.1,104.4,+0.33
2,UCLA,P12,25-4,+27.19,116.0,88.8,66.2,+.012,+7.88,109.4,101.5,+1.41
3,Alabama,SEC,25-4,+26.76,117.4,90.7,73.5,+.087,+10.63,110.8,100.1,+10.10
4,Tennessee,SEC,21-8,+25.45,112.3,86.8,66.0,-.060,+7.80,109.5,101.7,+3.02
5,Connecticut,BE,22-7,+24.72,119.9,95.2,67.2,-.057,+7.73,108.7,101.0,-1.65
6,Purdue,B10,24-5,+24.55,119.3,94.7,64.5,+.002,+8.68,110.5,101.9,+0.58
7,Kansas,B12,24-5,+23.93,116.7,92.8,69.7,+.097,+13.26,111.7,98.4,+6.84
8,Saint Mary's,WCC,25-6,+23.03,114.2,91.1,62.0,-.030,+5.22,110.2,105.0,+4.27
9,Texas,B12,22-7,+22.31,117.9,95.6,69.8,+.029,+10.49,111.1,100.6,-0.89
10,Gonzaga,WCC,25-5,+22.25,123.5,101.2,70.5,+.052,+7.63,110.7,103.1,+10.11
11,Arizona,P12,24-5,+21.67,120.3,98.6,72.7,+.036,+6.87,107.3,100.4,+3.43
12,Baylor,B12,22-8,+21.54,122.6,101.0,66.6,+.050,+12.62,111.7,99.1,+2.09
13,Marquette,BE,23-6,+21.34,121.1,99.8,69.3,-.012,+7.88,109.3,101.4,-0.88
14,Creighton,BE,18-11,+20.79,114.9,94.1,67.7,-.099,+10.60,111.2,100.6,+6.37
15,Arkansas,SEC,19-10,+20.15,113.3,93.2,69.9,-.075,+8.43,110.0,101.5,+4.02
16,San Diego St.,MWC,23-5,+19.76,113.7,94.0,66.8,+.052,+8.45,110.4,102.0,+7.06
17,Maryland,B10,20-9,+19.57,115.7,96.1,65.1,-.011,+7.12,108.9,101.8,-4.03
18,Xavier,BE,21-8,+19.07,119.4,100.3,71.1,-.026,+9.06,110.3,101.2,+3.83
19,West Virginia,B12,17-13,+18.99,117.6,98.6,68.8,-.069,+12.29,111.5,99.2,+2.27
20,Kansas St.,B12,22-7,+18.85,112.8,94.0,69.9,+.053,+9.67,109.6,99.9,-2.34
21,Indiana,B10,20-9,+18.69,116.2,97.5,68.5,+.018,+10.02,110.4,100.4,-3.46
22,Kentucky,SEC,20-9,+18.38,118.8,100.4,65.7,+.008,+8.10,109.3,101.2,+0.94
23,TCU,B12,19-10,+18.33,113.2,94.8,70.4,-.040,+9.26,109.8,100.5,-6.72
24,Texas A&M,SEC,21-8,+17.43,115.8,98.4,66.3,+.017,+5.78,108.0,102.3,-2.44
25,Iowa St.,B12,17-12,+17.14,109.4,92.2,64.4,-.044,+11.58,112.1,100.5,-1.62
26,Boise St.,MWC,22-7,+17.13,110.3,93.2,67.2,+.012,+5.78,109.2,103.4,+1.06
27,Providence,BE,21-8,+17.10,117.3,100.2,67.4,-.007,+5.32,108.1,102.8,-8.77
28,Michigan St.,B10,17-11,+16.81,113.0,96.2,65.2,+.010,+12.32,112.7,100.4,+5.29
29,Auburn,SEC,19-10,+16.60,111.2,94.6,68.1,-.006,+8.21,109.6,101.4,+3.85
30,Rutgers,B10,18-11,+16.56,106.2,89.6,66.1,-.068,+7.16,110.1,102.9,-7.74
31,Florida Atlantic,CUSA,26-3,+16.54,114.5,98.0,68.7,+.052,-0.35,105.6,106.0,-2.64
32,USC,P12,21-8,+16.38,113.8,97.4,68.5,+.035,+7.14,107.3,100.1,+1.48
33,Duke,ACC,21-8,+16.36,112.6,96.2,65.5,+.036,+5.56,109.5,104.0,+2.05
34,Illinois,B10,19-10,+16.35,111.8,95.5,69.7,-.029,+7.15,108.7,101.6,-6.13
35,Utah St.,MWC,22-7,+16.25,117.5,101.3,68.7,+.021,+6.08,108.7,102.6,+3.26
36,Miami FL,ACC,23-6,+15.79,119.1,103.3,69.1,+.004,+4.24,107.9,103.6,-2.12
37,Virginia,ACC,21-6,+15.70,111.5,95.8,62.0,+.051,+5.43,109.1,103.6,+2.25
38,Memphis,Amer,22-7,+15.62,114.0,98.4,72.1,-.048,+5.76,108.4,102.6,+5.72
39,Mississippi St.,SEC,19-10,+15.59,105.8,90.2,63.9,-.009,+6.70,108.7,102.0,-3.50
40,Nevada,MWC,22-8,+15.47,113.1,97.7,66.4,+.046,+7.57,109.9,102.3,+3.74
41,Michigan,B10,17-12,+15.26,114.0,98.7,68.2,-.044,+8.44,109.7,101.2,+0.29
42,Liberty,ASun,24-7,+15.05,112.7,97.7,64.8,-.024,-2.51,104.5,107.0,+2.01
43,North Carolina,ACC,19-11,+14.90,112.7,97.8,69.5,-.061,+7.51,110.2,102.7,+6.86
44,Iowa,B10,18-11,+14.87,120.5,105.7,70.2,-.015,+9.00,108.7,99.7,-2.91
45,Oklahoma St.,B12,16-14,+14.84,109.2,94.4,68.0,-.046,+11.52,110.9,99.4,+0.59
46,Oregon,P12,16-13,+14.56,114.9,100.3,66.4,-.032,+10.14,109.5,99.3,+5.87
47,Northwestern,B10,20-9,+14.54,110.0,95.5,65.1,+.064,+8.04,109.2,101.2,-3.70
48,New Mexico,MWC,20-9,+14.52,115.8,101.3,71.3,-.030,+5.25,108.3,103.1,-0.62
49,Penn St.,B10,17-12,+13.87,118.0,104.1,64.7,-.034,+8.02,109.1,101.1,-4.42
50,N.C. State,ACC,22-8,+13.68,114.3,100.6,69.4,+.035,+3.62,108.4,104.8,-5.01
51,Texas Tech,B12,16-13,+13.64,112.4,98.8,67.8,-.053,+8.64,110.4,101.8,-6.59
52,Oklahoma,B12,14-15,+13.62,111.7,98.1,65.6,-.040,+12.72,110.9,98.2,+3.74
53,Missouri,SEC,21-8,+13.40,119.6,106.2,69.5,+.103,+6.73,108.3,101.6,-4.59
54,Pittsburgh,ACC,21-8,+12.94,115.0,102.1,67.0,+.041,+2.53,107.9,105.4,-3.22
55,North Texas,CUSA,23-6,+12.93,110.9,98.0,58.5,+.086,+1.99,106.5,104.5,+1.39
56,Colorado,P12,15-15,+12.73,107.4,94.7,69.4,-.096,+8.09,108.9,100.8,+3.87
57,UAB,CUSA,22-8,+12.67,113.4,100.7,70.6,-.064,-0.67,105.2,105.9,-4.36
58,Utah,P12,17-13,+12.65,109.1,96.5,66.3,-.062,+6.02,107.5,101.5,-3.97
59,Washington St.,P12,15-15,+12.65,111.2,98.5,64.2,-.074,+9.25,109.9,100.7,+4.77
60,Oral Roberts,Sum,27-4,+12.62,115.7,103.1,70.8,+.105,-3.77,104.7,108.5,+7.89
61,Arizona St.,P12,20-9,+12.51,108.9,96.4,68.6,+.071,+6.82,108.3,101.5,+0.81
62,Villanova,BE,15-14,+12.43,113.8,101.4,63.6,-.072,+8.74,110.3,101.6,+3.72
63,UCF,Amer,16-12,+12.37,110.1,97.8,64.6,-.102,+3.77,108.1,104.4,-0.03
64,Florida,SEC,14-15,+12.35,108.6,96.2,69.5,-.083,+9.78,111.1,101.3,+5.07
65,Ohio St.,B10,12-17,+12.15,115.2,103.1,66.5,-.162,+9.86,110.1,100.3,-2.54
66,Cincinnati,Amer,19-11,+12.03,112.2,100.2,68.5,-.037,+3.41,108.0,104.6,-3.05
67,Charleston,CAA,28-3,+11.96,113.0,101.0,71.2,+.046,-5.68,103.0,108.7,-1.66
68,Clemson,ACC,21-8,+11.93,111.7,99.8,68.3,+.024,+1.54,107.7,106.2,-5.79
69,Wisconsin,B10,16-12,+11.92,106.9,94.9,63.1,+.015,+10.53,111.7,101.2,+1.21
70,Yale,Ivy,19-7,+11.73,110.8,99.1,66.3,-.046,-1.78,104.2,106.0,-0.03
71,Sam Houston St.,WAC,22-6,+11.52,107.4,95.9,64.5,+.065,+2.12,106.2,104.1,+7.03
72,Dayton,A10,19-10,+11.42,109.5,98.1,63.6,-.057,-0.28,105.1,105.4,-1.47
73,Iona,MAAC,22-7,+11.40,110.3,98.9,69.4,-.015,-2.92,103.4,106.4,+4.24
74,VCU,A10,22-7,+11.13,106.2,95.0,68.2,+.013,-0.32,105.0,105.3,-1.96
75,Seton Hall,BE,16-13,+11.09,105.3,94.2,67.1,-.010,+9.38,110.3,100.9,+2.51
76,Kent St.,MAC,23-6,+11.02,107.0,96.0,68.2,+.005,-1.79,106.3,108.1,+3.41
77,BYU,WCC,17-14,+10.86,108.3,97.5,70.2,-.112,+4.80,108.7,103.9,+1.35
78,Bradley,MVC,23-8,+10.74,108.2,97.4,65.7,+.037,-1.94,103.9,105.8,+0.15
79,Marshall,SB,24-7,+10.66,111.8,101.2,72.7,-.051,-2.50,104.4,106.9,-3.47
80,Drake,MVC,24-7,+10.54,109.1,98.6,67.1,+.028,-2.00,104.6,106.6,-1.87
81,Virginia Tech,ACC,16-13,+10.48,114.4,104.0,67.3,-.082,+5.32,108.7,103.4,-3.76
82,Santa Clara,WCC,23-8,+10.25,111.9,101.7,70.3,+.104,+3.95,109.0,105.0,+0.88
83,Wake Forest,ACC,18-11,+9.59,114.6,105.1,69.9,+.015,+4.76,107.9,103.2,-2.03
84,Vanderbilt,SEC,16-13,+9.34,115.5,106.2,66.4,+.051,+8.48,109.1,100.6,+2.06
85,Utah Valley,WAC,22-7,+9.04,106.4,97.4,69.7,+.080,+2.47,107.0,104.5,+4.81
86,UNLV,MWC,17-11,+8.95,108.7,99.7,70.0,-.025,+4.51,107.7,103.2,-2.46
87,Tulane,Amer,17-9,+8.75,111.7,103.0,73.2,+.022,+1.25,106.1,104.8,-7.59
88,Toledo,MAC,23-6,+8.63,119.2,110.5,69.9,+.034,-3.80,104.4,108.2,-1.43
89,Furman,SC,24-7,+8.51,114.6,106.1,68.9,-.014,-4.25,104.7,109.0,-1.61
90,St. John's,BE,17-13,+8.28,108.4,100.1,73.5,+.014,+5.93,108.0,102.1,-7.55
91,Hofstra,CAA,23-8,+8.14,110.5,102.3,67.4,+.052,-2.92,103.7,106.6,+7.20
92,Southern Miss,SB,25-6,+8.03,108.8,100.8,68.7,+.094,-1.39,105.0,106.4,-3.20
93,Nebraska,B10,15-14,+7.75,106.4,98.6,67.1,+.063,+10.26,110.7,100.5,+1.76
94,Stanford,P12,12-17,+7.67,112.9,105.3,65.9,-.123,+7.01,107.5,100.5,-0.51
95,James Madison,SB,21-10,+7.46,107.2,99.7,70.8,-.061,-1.78,104.2,105.9,-4.39
96,Louisiana,SB,23-7,+7.06,113.7,106.6,68.7,+.072,-0.55,104.6,105.1,+0.20
97,Indiana St.,MVC,20-11,+6.90,109.9,103.0,70.8,-.104,-4.64,102.7,107.3,-6.33
