Rank,Team,Confrence,Win_Loss,Adjusted_Efficiency_Margin,Adjusted_Offensive_Efficency,Adjusted_Defensive_Efficency,Adjusted_tempo,Luck,Strength_of_Schedule_Rating,Adverage_Adjusted_Offensive_Efficency_of_Opponents,Adverage_Adjusted_Defensive_Efficency_of_Opponents,Non_Confrence_Strength_of_Schedule_Rating
1,Houston,Amer,23-2,+30.18,120.5,90.3,62.9,+.020,+2.93,106.6,103.7,+0.94
2,Alabama,SEC,22-3,+27.45,117.5,90.0,73.5,+.088,+10.38,110.0,99.6,+9.44
3,UCLA,P12,21-4,+26.89,115.2,88.3,66.0,-.007,+7.75,109.1,101.3,+1.22
4,Tennessee,SEC,19-6,+25.77,112.4,86.6,66.2,-.049,+6.62,108.1,101.5,+3.08
5,Purdue,B10,23-3,+25.76,120.0,94.2,64.3,-.000,+8.01,109.0,101.0,+0.59
6,Connecticut,BE,19-7,+24.95,118.6,93.6,66.9,-.075,+8.24,108.6,100.4,-0.30
7,Saint Mary's,WCC,22-5,+23.77,114.0,90.2,61.9,-.043,+4.94,109.1,104.2,+4.10
8,Texas,B12,20-5,+23.51,118.6,95.1,69.5,+.048,+9.82,109.7,99.9,-0.83
9,Kansas,B12,20-5,+22.81,115.3,92.5,69.6,+.085,+12.60,110.7,98.1,+6.72
10,Creighton,BE,17-8,+22.30,114.9,92.6,67.7,-.084,+9.43,110.0,100.5,+5.59
11,Marquette,BE,20-6,+22.02,121.0,99.0,69.2,-.046,+7.65,108.7,101.0,-0.80
12,Baylor,B12,19-6,+21.72,121.4,99.7,67.1,+.049,+10.78,110.2,99.5,+2.28
13,Arizona,P12,22-4,+21.49,119.2,97.7,72.5,+.060,+6.77,107.0,100.3,+3.78
14,Virginia,ACC,19-4,+20.70,114.9,94.2,61.8,+.035,+6.77,109.1,102.3,+2.31
15,Gonzaga,WCC,21-5,+20.23,121.2,101.0,70.2,+.054,+7.65,109.9,102.2,+9.80
16,Rutgers,B10,16-9,+19.48,107.4,87.9,66.3,-.089,+7.05,109.3,102.3,-6.89
17,San Diego St.,MWC,20-5,+19.31,114.3,95.0,67.1,+.035,+8.15,109.5,101.4,+6.77
18,Iowa St.,B12,16-8,+19.28,110.6,91.3,64.8,-.014,+10.58,111.0,100.4,-1.07
19,Indiana,B10,18-7,+19.10,115.9,96.8,68.2,+.023,+8.37,109.1,100.7,-3.88
20,West Virginia,B12,15-10,+19.03,116.2,97.2,68.8,-.056,+11.13,110.5,99.3,+2.39
21,Illinois,B10,17-7,+19.02,112.6,93.6,69.4,-.016,+6.67,107.4,100.7,-4.45
22,Kansas St.,B12,19-6,+18.86,112.7,93.8,70.0,+.038,+8.80,108.3,99.5,-1.69
23,Arkansas,SEC,17-8,+18.67,111.9,93.2,69.5,-.047,+7.33,109.1,101.7,+3.41
24,TCU,B12,17-8,+18.54,112.5,93.9,70.0,-.034,+7.93,108.6,100.7,-6.16
25,Xavier,BE,19-6,+18.43,119.9,101.5,71.5,+.017,+9.15,109.6,100.5,+4.04
26,Maryland,B10,17-8,+18.39,113.5,95.1,65.5,+.000,+7.28,108.5,101.2,-3.67
27,Oklahoma St.,B12,16-9,+18.03,108.0,90.0,67.7,-.034,+9.89,109.5,99.6,+0.83
28,Auburn,SEC,17-8,+17.78,111.7,93.9,67.7,-.037,+7.79,108.0,100.2,+3.49
29,Boise St.,MWC,19-6,+17.46,108.7,91.2,66.9,-.007,+4.71,108.2,103.5,+0.65
30,Michigan St.,B10,16-9,+17.11,110.5,93.4,64.8,+.029,+11.86,111.6,99.8,+5.09
31,Providence,BE,18-7,+16.80,115.4,98.6,67.0,-.029,+4.55,107.2,102.6,-8.05
32,North Carolina,ACC,16-9,+16.48,114.4,97.9,69.4,-.073,+7.87,109.3,101.5,+7.47
33,Texas A&M,SEC,18-7,+16.43,115.7,99.3,66.5,+.006,+3.99,106.6,102.6,-2.03
34,Iowa,B10,16-9,+16.42,120.1,103.7,70.1,-.030,+8.62,107.7,99.1,-2.26
35,Miami FL,ACC,20-5,+16.33,119.4,103.0,68.4,+.012,+4.31,106.8,102.5,-1.29
36,Duke,ACC,17-8,+16.02,111.5,95.4,65.6,+.024,+7.34,109.7,102.4,+2.47
37,Memphis,Amer,19-6,+15.82,114.0,98.2,72.0,-.088,+4.62,107.2,102.6,+5.58
38,Nevada,MWC,20-6,+15.81,113.6,97.8,66.0,+.061,+7.27,109.1,101.8,+3.76
39,Florida Atlantic,CUSA,24-2,+15.78,113.9,98.1,68.3,+.077,+0.16,105.4,105.2,-2.95
40,Mississippi St.,SEC,17-8,+15.61,105.3,89.7,64.0,+.010,+5.81,107.1,101.3,-3.45
41,N.C. State,ACC,20-6,+15.27,113.5,98.3,69.5,+.035,+3.10,107.5,104.4,-4.54
42,Utah St.,MWC,19-7,+15.18,117.2,102.0,68.3,+.015,+6.07,108.4,102.4,+3.10
43,Oregon,P12,15-11,+15.01,113.9,98.9,66.9,-.013,+10.08,109.0,98.9,+5.82
44,Kentucky,SEC,16-9,+14.81,115.6,100.8,65.7,-.015,+6.20,108.3,102.1,+0.27
45,Liberty,ASun,21-6,+14.67,111.5,96.8,63.9,-.018,-2.98,103.8,106.8,+2.27
46,Utah,P12,17-9,+14.45,110.0,95.5,66.3,-.043,+3.47,105.5,102.1,-4.41
