Rank,Team,Confrence,Win_Loss,Adjusted_Efficiency_Margin,Adjusted_Offensive_Efficency,Adjusted_Defensive_Efficency,Adjusted_tempo,Luck,Strength_of_Schedule_Rating,Adverage_Adjusted_Offensive_Efficency_of_Opponents,Adverage_Adjusted_Defensive_Efficency_of_Opponents,Non_Confrence_Strength_of_Schedule_Rating
1,Houston,Amer,23-2,+30.09,120.3,90.2,62.8,+.020,+2.89,106.4,103.5,+0.79
2,Alabama,SEC,21-3,+27.02,117.1,90.0,73.6,+.083,+9.78,109.5,99.7,+9.28
3,UCLA,P12,20-4,+26.71,115.1,88.4,65.8,-.015,+7.19,108.6,101.5,+1.17
4,Tennessee,SEC,19-5,+26.61,111.3,84.7,66.3,-.027,+6.40,107.4,101.0,+2.99
5,Purdue,B10,23-2,+26.59,120.7,94.1,63.9,+.011,+7.56,108.9,101.3,+0.81
6,Connecticut,BE,19-6,+25.11,119.2,94.1,67.1,-.059,+7.45,108.3,100.8,-0.25
7,Saint Mary's,WCC,21-5,+23.05,113.0,89.9,61.9,-.043,+4.71,108.6,103.9,+3.83
8,Arizona,P12,22-3,+22.64,118.7,96.0,72.4,+.072,+6.51,106.9,100.4,+3.85
9,Creighton,BE,16-8,+22.11,115.3,93.2,67.9,-.099,+8.91,109.7,100.8,+5.41
10,Texas,B12,19-5,+22.02,117.7,95.7,69.3,+.053,+9.55,109.4,99.8,-0.99
11,Marquette,BE,19-6,+21.97,120.6,98.6,68.9,-.048,+7.94,108.8,100.9,-1.18
12,Kansas,B12,19-5,+21.89,115.3,93.4,69.1,+.090,+12.51,110.6,98.1,+6.78
13,Baylor,B12,18-6,+21.37,120.8,99.4,67.3,+.039,+10.16,110.1,100.0,+2.08
14,Virginia,ACC,18-4,+20.81,115.3,94.5,61.6,+.029,+6.63,108.9,102.3,+2.29
15,West Virginia,B12,15-9,+20.45,116.8,96.3,68.6,-.090,+10.39,110.0,99.6,+2.31
