Rank,Team,Confrence,Win_Loss,Adjusted_Efficiency_Margin,Adjusted_Offensive_Efficency,Adjusted_Defensive_Efficency,Adjusted_tempo,Luck,Strength_of_Schedule_Rating,Adverage_Adjusted_Offensive_Efficency_of_Opponents,Adverage_Adjusted_Defensive_Efficency_of_Opponents,Non_Confrence_Strength_of_Schedule_Rating
1,Houston,Amer,23-2,+30.23,120.4,90.2,62.9,+.020,+2.93,106.5,103.6,+1.02
2,Alabama,SEC,22-3,+27.55,117.5,90.0,73.5,+.088,+10.37,109.8,99.4,+9.44
3,UCLA,P12,21-4,+26.92,115.0,88.1,66.0,-.007,+7.70,109.0,101.3,+1.20
4,Purdue,B10,23-3,+25.80,119.8,94.0,64.3,-.000,+7.99,109.0,101.0,+0.51
5,Tennessee,SEC,19-6,+25.75,112.4,86.6,66.2,-.049,+6.51,107.8,101.3,+2.91
6,Connecticut,BE,19-7,+24.84,118.5,93.6,66.9,-.075,+8.04,108.3,100.3,-0.64
7,Saint Mary's,WCC,22-5,+23.77,113.9,90.1,61.9,-.043,+4.86,108.9,104.1,+4.01
8,Kansas,B12,21-5,+23.33,116.3,93.0,69.6,+.086,+12.78,110.4,97.6,+6.46
9,Texas,B12,20-6,+22.54,117.9,95.4,69.3,+.032,+9.98,109.9,99.9,-1.00
10,Baylor,B12,20-6,+22.29,122.0,99.7,66.7,+.051,+10.92,110.4,99.5,+2.31
11,Marquette,BE,20-6,+22.10,121.1,99.0,69.2,-.046,+7.66,108.4,100.8,-0.58
12,Creighton,BE,17-9,+21.87,114.5,92.6,67.8,-.094,+9.92,110.1,100.2,+5.72
13,Arizona,P12,22-4,+21.44,119.1,97.7,72.5,+.060,+6.65,106.8,100.2,+3.54
14,Virginia,ACC,19-4,+20.70,114.9,94.2,61.8,+.035,+6.68,108.9,102.3,+2.35
15,Gonzaga,WCC,21-5,+20.24,121.1,100.8,70.2,+.054,+7.61,109.8,102.2,+9.77
16,San Diego St.,MWC,20-5,+19.30,114.2,94.9,67.1,+.035,+8.05,109.3,101.3,+6.70
17,Iowa St.,B12,16-8,+19.20,110.3,91.1,64.8,-.014,+10.40,111.0,100.6,-1.38
18,Auburn,SEC,18-8,+19.00,111.7,92.7,67.9,-.040,+7.75,108.2,100.4,+3.48
19,Indiana,B10,18-7,+18.97,115.5,96.5,68.2,+.023,+8.19,109.1,100.9,-3.99
20,Arkansas,SEC,17-8,+18.74,111.9,93.2,69.5,-.047,+7.29,108.8,101.5,+3.52
21,West Virginia,B12,15-11,+18.64,116.4,97.7,68.4,-.060,+11.78,110.9,99.1,+2.31
22,TCU,B12,17-8,+18.55,112.1,93.6,70.1,-.034,+7.88,108.7,100.8,-6.02
23,Maryland,B10,17-8,+18.37,113.4,95.0,65.5,+.000,+7.23,108.4,101.2,-3.75
