Rank,Team,Confrence,Win_Loss,Adjusted_Efficiency_Margin,Adjusted_Offensive_Efficency,Adjusted_Defensive_Efficency,Adjusted_tempo,Luck,Strength_of_Schedule_Rating,Adverage_Adjusted_Offensive_Efficency_of_Opponents,Adverage_Adjusted_Defensive_Efficency_of_Opponents,Non_Confrence_Strength_of_Schedule_Rating
1,Houston,Amer,25-2,+29.59,120.1,90.6,63.4,+.028,+3.02,106.5,103.4,+0.72
2,Alabama,SEC,23-4,+27.89,117.4,89.5,73.6,+.068,+10.55,109.8,99.3,+9.69
3,UCLA,P12,23-4,+27.05,115.1,88.0,66.5,-.004,+6.78,108.5,101.7,+1.18
4,Purdue,B10,24-4,+25.37,119.3,93.9,64.6,+.010,+8.22,109.2,100.9,+0.03
5,Tennessee,SEC,20-7,+25.16,111.1,86.0,66.4,-.046,+7.70,108.7,101.0,+2.89
6,Connecticut,BE,20-7,+24.62,118.0,93.4,67.3,-.067,+7.73,107.9,100.2,-1.02
7,Kansas,B12,22-5,+24.06,117.1,93.0,69.9,+.083,+12.88,110.7,97.8,+6.71
8,Saint Mary's,WCC,24-5,+22.95,113.3,90.3,62.1,-.023,+4.76,109.0,104.2,+4.00
9,Arizona,P12,24-4,+22.33,119.4,97.1,72.8,+.058,+6.75,106.5,99.8,+3.50
10,Creighton,BE,18-9,+22.13,114.6,92.5,68.1,-.086,+9.97,109.9,100.0,+5.99
11,Texas,B12,21-6,+21.98,117.5,95.5,69.9,+.044,+9.82,109.8,100.0,-0.88
12,Marquette,BE,21-6,+21.75,120.3,98.5,69.4,-.031,+7.73,108.6,100.9,-0.91
13,Gonzaga,WCC,23-5,+21.52,122.1,100.6,70.9,+.054,+7.56,109.9,102.3,+9.80
14,Baylor,B12,20-7,+21.51,122.0,100.5,67.0,+.048,+11.56,110.7,99.1,+2.12
15,Iowa St.,B12,17-9,+19.42,109.7,90.3,65.1,-.022,+10.87,111.0,100.2,-1.77
16,Arkansas,SEC,18-9,+19.12,111.7,92.6,69.8,-.058,+7.86,109.0,101.1,+3.70
17,San Diego St.,MWC,21-5,+19.04,112.6,93.6,67.3,+.046,+8.02,109.4,101.3,+6.58
18,Maryland,B10,18-9,+18.88,113.0,94.1,65.7,-.014,+7.76,108.7,101.0,-3.99
19,TCU,B12,18-9,+18.84,112.8,94.0,70.7,-.041,+8.48,108.7,100.2,-6.52
20,Indiana,B10,19-8,+18.69,115.0,96.3,68.5,+.015,+8.79,109.2,100.4,-4.19
21,Auburn,SEC,18-9,+18.64,111.3,92.6,68.3,-.057,+7.90,108.3,100.5,+3.62
22,Xavier,BE,20-7,+18.52,118.9,100.4,71.7,-.005,+8.95,109.5,100.6,+3.66
